GitHub Repo,domain,Lines of Code,Stars,Commits,Contributor Count,Project Size,unused-argument,no-member,protected-access,no-self-use,too-many-arguments,redefined-outer-name,too-many-locals,unsubscriptable-object,syntax-error,too-few-public-methods,attribute-defined-outside-init,abstract-method,no-else-return,unused-variable,fixme,too-many-instance-attributes,redefined-builtin,arguments-differ,logging-fstring-interpolation,no-value-for-parameter,Total_Python_Smells,Python_Smell_Density
GRAAL-Research/poutyne,ML Frameworks / Libraries,12874,576,774,20,medium,20,0,0,27,0,0,0,0,0,8,94,0,0,0,0,28,0,1,0,0,178,13.826316607115116
graphbrain/graphbrain,Natural Language Processing,10180,618,3218,7,small,18,204,0,19,21,0,8,11,0,10,0,0,30,4,1,3,1,2,29,2,363,35.6581532416503
greentfrapp/lucent,ML Frameworks / Libraries,2009,643,191,11,small,1,1,6,11,7,21,3,0,0,0,0,4,7,8,1,1,2,2,0,0,75,37.33200597312096
guildai/guildai,MLOps / Deployment,51790,889,5779,23,large,9,143,285,40,116,318,38,0,1,119,24,1,31,23,19,26,143,14,1,29,1380,26.64607067001352
guillaume-be/rust-bert,Natural Language Processing,176,2951,1120,47,small,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,28.409090909090907
hastagAB/Awesome-Python-Scripts,Domain-Specific Applications,7569,2263,471,133,small,21,12,1,9,2,117,8,0,8,7,55,0,30,31,0,5,11,0,0,0,317,41.88135817148897
heartexlabs/label-studio,Computer Vision,52356,24894,5537,138,large,544,3,86,268,57,206,61,53,0,710,41,0,97,80,67,6,33,0,347,0,2659,50.786920314768125
henrysky/astroNN,ML Frameworks / Libraries,10096,204,2181,5,small,26,386,12,4,19,20,31,0,0,4,2,0,30,69,29,19,9,27,18,4,709,70.2258320126783
home-assistant/core,Domain-Specific Applications,2109291,81605,99340,1026,large,15124,915,1694,272,2461,3772,543,8496,30619,1894,999,5586,0,54,32,617,105,11,5,16,73215,34.710715591163094
huggingface/transformers,Natural Language Processing,988895,150377,20591,3231,large,3957,3561,2687,1499,6595,518,4508,11167,8,415,311,5633,722,1721,823,2523,299,1611,1070,35,49663,50.22070088330915
huseinzol05/Malaya,Natural Language Processing,603277,506,942,10,large,666,2929,132,213,553,404,519,1,16,104,75,119,218,413,47,196,44,78,300,398,7425,12.307779013620609
IBM/adversarial-robustness-toolbox,Data Science / Traditional ML,80632,5560,13028,109,large,127,35,290,103,399,299,462,2,0,44,78,11,13,206,18,81,4,89,0,24,2285,28.33862486357774
IBM/AIF360,Computer Vision,13835,2657,438,63,medium,30,17,10,36,81,49,68,3,0,13,148,23,38,75,21,18,3,26,0,1,660,47.70509577159378
IBM/AIX360,Domain-Specific Applications,17132,1735,633,26,medium,50,97,14,47,86,77,76,0,0,21,156,4,43,112,7,26,7,40,0,0,863,50.37356992762083
