GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community,Continuous Integration,Documentation,History,Issues,License,Unit Testing,Last Commit Date,Branch Count,Contributor Count,Composite Score,domain,match_score,domain_description,domain_topics,Project Size,Created Date
huggingface/transformers,Y,150377,20591,988895,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,Multiple contributors: https://github.com/huggingface/transformers/graphs/contributors,"The project uses CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",The project shows frequent and consistent commits throughout the past years: https://github.com/huggingface/transformers/graphs/commit-activity,More closed issues than open. Project authors respond to issues: https://github.com/huggingface/transformers/issues,https://github.com/huggingface/transformers/blob/master/LICENSE,There are many files related to testing.,2025-09-26,964,3231,163258.1,Domain-Specific Applications,5,"🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. ","audio, deep-learning, deepseek, gemma, glm, hacktoberfest, llm, machine-learning, model-hub, natural-language-processing, nlp, pretrained-models, python, pytorch, pytorch-transformers, qwen, speech-recognition, transformer, vlm",large,2018-10-29T13:56:00Z
huseinzol05/Malaya,Y,506,942,603277,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,Multiple contributors: https://github.com/huseinzol05/Malaya/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Few commits in the last month: https://github.com/hunkim/PyTorchZeroToAll/graphs/commit-activity,"Only one issue, issues closed frequently: https://github.com/huseinzol05/Malaya/issues?q=is%3Aissue+is%3Aclosed",https://github.com/huseinzol05/Malaya/blob/master/LICENSE,There are few files related to testing.,2025-08-29,47,10,785.0,Natural Language Processing,6," Natural Language Toolkit for Malaysian language, https://malaya.readthedocs.io/","bahasa-malaysia, emotion-analysis, entity-framework, language-detection, malay, malay-nlp, natural-language-processing, ner, normalizer, pos-tagging, sentiment-analysis, subjectivity-analysis, tensorflow",large,2018-03-12T02:23:35Z
IBM/adversarial-robustness-toolbox,Y,5560,13028,80632,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/IBM/adversarial-robustness-toolbox/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/IBM/adversarial-robustness-toolbox/issues/477 and https://github.com/IBM/adversarial-robustness-toolbox/issues/448",https://github.com/IBM/adversarial-robustness-toolbox/blob/main/LICENSE is provided.,There are many files related to testing.,2025-09-25,7,109,9402.4,Data Science / Traditional ML,5,"Adversarial Robustness Toolbox (ART) - Python Library for Machine Learning Security - Evasion, Poisoning, Extraction, Inference - Red and Blue Teams","adversarial-attacks, adversarial-examples, adversarial-machine-learning, ai, artificial-intelligence, attack, blue-team, evasion, extraction, inference, machine-learning, poisoning, privacy, python, red-team, trusted-ai, trustworthy-ai",large,2018-03-15T14:40:43Z
IBM/lale,Y,343,1540,80917,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/IBM/lale/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Evidence of sustained commit activity,The maintainers of the project does not reply to issues or close them.,https://github.com/IBM/lale/blob/master/LICENSE.txt is provided.,There are many files related to testing.,2025-09-19,10,27,1409.2,Data Science / Traditional ML,10,Library for Semi-Automated Data Science,"artificial-intelligence, automated-machine-learning, automl, data-science, dataquality, hyperparameter-optimization, hyperparameter-search, hyperparameter-tuning, ibm-research, ibm-research-ai, interoperability, machine-learning, pipeline-testing, pipeline-tests, python, scikit-learn",large,2019-08-06T14:39:27Z
jrzaurin/pytorch-widedeep,Y,1377,965,32158,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,Multiple contributors: https://github.com/jrzaurin/pytorch-widedeep/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, some codes are documented","No commits the past month, active before that",More closed issues than open. Project authors respond to issues: https://github.com/jrzaurin/pytorch-widedeep/issues/12,https://github.com/jrzaurin/pytorch-widedeep/blob/master/LICENSE,There are many files related to testing.,2025-09-27,15,10,1140.3000000000002,Natural Language Processing,3,A flexible package for multimodal-deep-learning to combine tabular data with text and images using Wide and Deep models in Pytorch,"deep-learning, images, model-hub, multimodal-deep-learning, python, pytorch, pytorch-cv, pytorch-nlp, pytorch-tabular-data, pytorch-transformers, tabular-data, text",large,2017-10-21T08:11:44Z
kornia/kornia,Y,10774,2965,84657,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,Multiple contributors: https://github.com/kornia/kornia/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author does not respond frequently",https://github.com/kornia/kornia/blob/master/LICENSE,There are many files related to testing.,2025-09-27,11,289,13869.1,Computer Vision,7,🐍 Geometric Computer Vision Library for Spatial AI,"artificial-intelligence, computer-vision, deep-learning, image-processing, machine-learning, neural-network, python, pytorch, robotics, spatial-ai",large,2018-08-22T10:31:37Z
kubeflow/kfserving,Y,4593,1896,62085,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/kubeflow/kfserving/graphs/contributors shows that there are multiple contributors,CI is not used on the project,There is a well-maintained README but Most of the functions in the source code are not documented.,https://github.com/kubeflow/kfserving/graphs/commit-activity shows there has been activities in the past few months consistently,"The project maintainers respond to issues, as evidenced by https://github.com/kubeflow/kfserving/issues/916 and https://github.com/kubeflow/kfserving/issues/884",https://github.com/kubeflow/kfserving/blob/master/LICENSE,There are many files related to testing,2025-09-25,19,294,11226.0,MLOps / Deployment,8,"Standardized Distributed Generative and Predictive AI Inference Platform for Scalable, Multi-Framework Deployment on Kubernetes","artificial-intelligence, cncf, genai, hacktoberfest, istio, k8s, knative, kserve, kubeflow, kubernetes, llm-inference, machine-learning, mlops, model-interpretability, model-serving, pytorch, service-mesh, tensorflow, xgboost",large,2019-03-27T21:14:14Z
kubeflow/pipelines,Y,3954,6514,110404,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/kubeflow/pipelines/graphs/contributors shows that there are multiple contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and the majority of the functions in https://github.com/kubeflow/pipelines/blob/master/backend/src/apiserver/model/pipeline_version.go and https://github.com/kubeflow/pipelines/blob/master/backend/src/apiserver/model/job.go have appropriate docstrings",https://github.com/kubeflow/pipelines/graphs/commit-activity shows there has been activities in the past few months consistently,"The project maintainers respond to issues, as evidenced by https://github.com/kubeflow/pipelines/issues/4162 and https://github.com/kubeflow/pipelines/issues/4159",https://github.com/kubeflow/pipelines/blob/master/LICENSE,There are many files related to testing,2025-09-26,314,456,17215.8,MLOps / Deployment,8,Machine Learning Pipelines for Kubeflow,"data-science, kubeflow, kubeflow-pipelines, kubernetes, machine-learning, mlops, pipeline",large,2018-05-12T00:31:47Z
magenta/magenta,Y,19667,1425,44690,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/magenta/magenta/graphs/contributors shows there are multiple contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and the majority of the functions in https://github.com/magenta/magenta/blob/master/magenta/models/melody_rnn/melody_rnn_config_flags.py and https://github.com/magenta/magenta/blob/master/magenta/models/melody_rnn/melody_rnn_pipeline.py and https://github.com/magenta/magenta/blob/master/magenta/models/nsynth/reader.py have appropriate docstrings",https://github.com/magenta/magenta/graphs/commit-activity shows there have been activities in the past few months consistently,"The project maintainers respond to issues, as evidenced by https://github.com/magenta/magenta/issues/1759 and https://github.com/magenta/magenta/issues/1757",https://github.com/magenta/magenta/blob/master/LICENSE,there is no evidence of any testing done on the project.,2025-07-08,10,143,12584.3,Reinforcement Learning,2,Magenta: Music and Art Generation with Machine Intelligence,,large,2016-05-05T20:10:40Z
microsoft/ai-edu,N,13977,694,31803,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/microsoft/ai-edu/graphs/contributors shows that there are multiple contributors,CI is not used on the project,There is a well-maintained README but most of the functions in the source code are not documented.,https://github.com/microsoft/ai-edu/graphs/commit-activity shows that there have been activities in the past few months consistently,"The project maintainers respond to issues, as evidenced by https://github.com/microsoft/ai-edu/issues/501 and https://github.com/microsoft/ai-edu/issues/487",https://github.com/microsoft/ai-edu/blob/master/LICENSE.md,there is no evidence of any testing done on the project.,2024-05-16,14,58,7539.0,Data Science / Traditional ML,1,"AI education materials for Chinese students, teachers and IT professionals.",,large,2018-11-16T04:36:22Z
microsoft/botbuilder-python,Y,764,1826,47236,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/microsoft/botbuilder-python/graphs/contributors shows that there are multiple contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and the majority of the functions in https://github.com/microsoft/botbuilder-python/blob/master/libraries/botbuilder-ai/botbuilder/ai/luis/luis_recognizer.py and https://github.com/microsoft/botbuilder-python/blob/master/libraries/botbuilder-applicationinsights/botbuilder/applicationinsights/application_insights_telemetry_client.py and https://github.com/microsoft/botbuilder-python/blob/master/libraries/botbuilder-core/botbuilder/core/activity_handler.py have appropriate docstrings",https://github.com/microsoft/botbuilder-python/graphs/commit-activity shows that there have been activities in the past few months consistently,"The project maintainers respond to issues, as evidenced by https://github.com/microsoft/botbuilder-python/issues/1236 and https://github.com/microsoft/botbuilder-python/issues/1235",https://github.com/microsoft/botbuilder-python/blob/master/LICENSE,There are many files related to testing,2025-05-28,21,68,2893.4,Reinforcement Learning,1,"The Microsoft Bot Framework provides what you need to build and connect intelligent bots that interact naturally wherever your users are talking, from text/sms to Skype, Slack, Office 365 mail and other popular services.","bot, bot-framework, bots, microsoft, microsoft-bot-framework, microsoft-cognitive-services, python",large,2018-01-10T23:07:09Z
microsoft/DeepSpeed,Y,40233,2931,96442,The source code of this project has been organised into different modules in a way that shows the relationship between different files with ad hoc scripts,https://github.com/microsoft/DeepSpeed/graphs/contributors shows there are multiple contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README but most of the functions in the source code are not documented.,https://github.com/microsoft/DeepSpeed/graphs/commit-activity shows there have been activities in the past few months,"The project maintainers respond to issues, as evidenced by https://github.com/microsoft/DeepSpeed/issues/279 and https://github.com/microsoft/DeepSpeed/issues/274",https://github.com/microsoft/DeepSpeed/blob/master/LICENSE,There are many files related to testing,2025-09-27,819,409,29242.5,Natural Language Processing,2,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and effective.","billion-parameters, compression, data-parallelism, deep-learning, gpu, inference, machine-learning, mixture-of-experts, model-parallelism, pipeline-parallelism, pytorch, trillion-parameters, zero",large,2020-01-23T18:35:18Z
microsoft/MMdnn,Y,5813,1085,27846,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/microsoft/MMdnn/graphs/contributors shows there are multiple contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and the some of the functions in https://github.com/microsoft/MMdnn/blob/master/mmdnn/conversion/keras/extra_layers.py and https://github.com/microsoft/MMdnn/blob/master/mmdnn/conversion/paddle/paddle_parser.py have appropriate docstrings",https://github.com/microsoft/MMdnn/graphs/commit-activity shows there have been activities in the past few months,"The project maintainers respond to issues, as evidenced by https://github.com/microsoft/MMdnn/issues/856 and https://github.com/microsoft/MMdnn/issues/853",https://github.com/microsoft/MMdnn/blob/master/LICENSE,There are many files related to testing,2025-08-07,14,65,4600.700000000001,ML Frameworks / Libraries,9,"MMdnn is a set of tools to help users inter-operate among different deep learning frameworks. E.g. model conversion and visualization. Convert models between Caffe, Keras, MXNet, Tensorflow, CNTK, PyTorch Onnx and CoreML.","caffe, cntk, coreml, darknet, keras, model-converter, mxnet, onnx, pytorch, tensorflow, visualization",large,2017-08-16T08:03:52Z
mindsdb/mindsdb,Y,36195,19670,134139,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/mindsdb/mindsdb/graphs/contributors shows that there are multiple contributors but mainly 2,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README but most of the functions in the source code are not documented.,https://github.com/mindsdb/mindsdb/graphs/commit-activity shows that there have been some activities in the past months.,"The project maintainers respond to issues, as evidenced by https://github.com/mindsdb/mindsdb/issues/560 and https://github.com/mindsdb/mindsdb/issues/550",https://github.com/mindsdb/mindsdb/blob/stable/LICENSE,There are many files related to testing,2025-09-25,326,791,44109.0,Natural Language Processing,1,"AI Analytics and Knowledge Engine for RAG over large-scale, heterogeneous data. - The only MCP Server you'll ever need","agents, agi, ai, analytics, artificial-inteligence, business-intelligence, databases, hacktoberfest, llms, mcp, rag",large,2018-08-02T17:56:45Z
mlflow/mlflow,Y,22264,8857,320527,The source code of this project has been organised into different modules in a way that shows the relationship between different files with ad hoc scripts,https://github.com/mlflow/mlflow/graphs/contributors shows that there are multiple contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and the majority of the functions in https://github.com/mlflow/mlflow/blob/master/mlflow/models/model.py and https://github.com/mlflow/mlflow/blob/master/mlflow/models/flavor_backend.py and https://github.com/mlflow/mlflow/blob/master/mlflow/tracking/fluent.py have appropriate docstrings",https://github.com/mlflow/mlflow/graphs/commit-activity show that there have been significant amount of activities in the past few months consistently,"The project maintainers respond to issues, as evidenced by https://github.com/mlflow/mlflow/issues/3053 and https://github.com/mlflow/mlflow/issues/3052",https://github.com/mlflow/mlflow/blob/master/LICENSE.txt,There are many files related to testing,2025-09-28,312,849,37032.7,MLOps / Deployment,5,"The open source developer platform to build AI/LLM applications and models with confidence. Enhance your AI applications with end-to-end tracking, observability, and evaluations, all in one integrated platform.","agentops, agents, ai, ai-governance, apache-spark, evaluation, langchain, llm-evaluation, llmops, machine-learning, ml, mlflow, mlops, model-management, observability, open-source, openai, prompt-engineering",large,2018-06-05T16:05:58Z
mlperf/inference,N,1467,1824,52082,The source code of the project exists as ad-hoc scripts.,https://github.com/mlperf/inference/graphs/contributors shows that there are multiple contributors,CI is not used on the project,There is a well-maintained README but most of the functions in the source code are not documented.,https://github.com/mlperf/inference/graphs/commit-activity shows that there have been some activities in the past months.,"The project maintainers respond to issues, as evidenced by https://github.com/mlperf/inference/issues/640 and https://github.com/mlperf/inference/issues/638",https://github.com/mlperf/inference/blob/master/LICENSE.md,There are many files related to testing,2025-09-24,100,113,4524.0,ML Frameworks / Libraries,5,Reference implementations of MLPerf™ inference benchmarks,"benchmark, machine-learning",large,2018-09-13T01:53:57Z
mlperf/training,N,1715,379,78482,The source code of this project has been organised into different modules in a way that shows the relationship between different files with ad hoc scripts,https://github.com/mlperf/training/graphs/contributors shows that there are multiple contributors,CI is not used on the project,"There is a well-maintained README, and the majority of the functions in https://github.com/mlperf/training/blob/master/image_classification/tensorflow/official/resnet/imagenet_preprocessing.py and https://github.com/mlperf/training/blob/master/recommendation/pytorch/alias_generator.py and https://github.com/mlperf/training/blob/master/image_classification/tensorflow/official/resnet/resnet_model.py have appropriate docstrings",https://github.com/mlperf/training/graphs/commit-activity shows that there have been some activities in the past months.,"The project maintainers respond to issues, not so actively, as evidenced by https://github.com/mlperf/training/issues/382 and https://github.com/mlperf/training/issues/373",https://github.com/mlperf/training/blob/master/LICENSE.md,there is no evidence of any testing done on the project.,2025-09-22,51,62,2659.7,Natural Language Processing,1,Reference implementations of MLPerf® training benchmarks,"benchmark, machine-learning",large,2018-03-29T21:56:06Z
mozilla/bugbug,Y,547,6468,28261,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/mozilla/bugbug/graphs/contributors shows there are multiple contributors but mainly 1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README but most of the functions in the source code are not documented.,https://github.com/mozilla/bugbug/graphs/commit-activity shows that there have been activties in the past few months consistently,"The project maintainers respond to issues, not so actively, as evidenced by https://github.com/mozilla/bugbug/issues/1642 and https://github.com/mozilla/bugbug/issues/1641",https://github.com/mozilla/bugbug/blob/master/LICENSE,There are many files related to testing,2025-09-26,30,111,5489.2,Natural Language Processing,2,Platform for Machine Learning projects on Software Engineering,"ai, developer-tools, llm, machine-learning, ml, python, software-engineering",large,2018-03-12T15:29:09Z
NVIDIA/DeepLearningExamples,Y,14500,1437,294144,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/NVIDIA/DeepLearningExamples/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/NVIDIA/DeepLearningExamples/issues/508 and https://github.com/NVIDIA/DeepLearningExamples/issues/451",There are multiple license files as there are multiple projects for this,There is no evidence of any testing done on the project.,2024-04-04,16,104,9351.1,ML Frameworks / Libraries,6,State-of-the-Art Deep Learning scripts organized by models - easy to train and deploy with reproducible accuracy and performance on enterprise-grade infrastructure.,"computer-vision, deep-learning, drug-discovery, forecasting, large-language-models, mxnet, nlp, paddlepaddle, pytorch, recommender-systems, speech-recognition, speech-synthesis, tensorflow, tensorflow2, translation",large,2018-05-02T17:04:05Z
NVIDIA/Megatron-LM,Y,13712,7253,135466,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/NVIDIA/Megatron-LM/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Little evidence of sustained commit activity,The project maintainers only respond to some issues,https://github.com/NVIDIA/Megatron-LM/blob/master/LICENSE is provided.,There are files related to testing but everywhere,2025-09-27,33,177,12970.7,Natural Language Processing,6,Ongoing research training transformer models at scale,"large-language-models, model-para, transformers",large,2019-03-21T16:15:52Z
NVIDIA/NeMo,Y,15770,8996,422797,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/NVIDIA/NeMo/graphs/contributors shows that there are multiple contributors,The project uses Jenkins CI,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/NVIDIA/NeMo/issues/631 and https://github.com/NVIDIA/NeMo/issues/771",https://github.com/NVIDIA/NeMo/blob/master/LICENSE is provided.,There are many files related to testing.,2025-09-26,1339,435,22056.8,Natural Language Processing,7,"A scalable generative AI framework built for researchers and developers working on Large Language Models, Multimodal, and Speech AI (Automatic Speech Recognition and Text-to-Speech)","asr, deeplearning, generative-ai, large-language-models, machine-translation, multimodal, neural-networks, speaker-diariazation, speaker-recognition, speech-synthesis, speech-translation, tts",large,2019-08-05T20:16:42Z
NVIDIA/TRTorch,Y,2865,4650,91885,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/NVIDIA/TRTorch/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/NVIDIA/TRTorch/issues/98 and https://github.com/NVIDIA/TRTorch/issues/84 but not often",https://github.com/NVIDIA/TRTorch/blob/master/LICENSE is provided.,There are many files related to testing.,2025-09-26,873,101,5571.0,ML Frameworks / Libraries,2,PyTorch/TorchScript/FX compiler for NVIDIA GPUs using TensorRT,"cuda, deep-learning, jetson, libtorch, machine-learning, nvidia, pytorch, tensorrt",large,2020-03-11T17:17:43Z
NVIDIAGameWorks/kaolin,Y,4911,386,42464,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/NVIDIAGameWorks/kaolin/graphs/contributors shows that there are multiple contributors,The project uses Gitlab CI,There is a well-maintained documentation,Little evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/NVIDIAGameWorks/kaolin/issues/249 and https://github.com/NVIDIAGameWorks/kaolin/issues/142",https://github.com/NVIDIAGameWorks/kaolin/blob/master/LICENSE is provided.,There are many files related to testing.,2025-08-26,12,29,2950.2000000000003,Data Science / Traditional ML,3,A PyTorch Library for Accelerating 3D Deep Learning Research,"3d-deep-learning, artificial-intelligence, camera-api, cuda, differentiable-lighting, differentiable-rendering, gaussian-splatting, interactive-visualizations, neural-networks, nvidia-warp, physics-simulation, pytorch, rasterization",large,2019-11-14T21:09:40Z
onnx/tensorflow-onnx,Y,2480,2947,61422,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/onnx/tensorflow-onnx/graphs/contributors shows there are multiple contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README and most of the functions in https://github.com/onnx/tensorflow-onnx/blob/master/tf2onnx/tfonnx.py and https://github.com/onnx/tensorflow-onnx/blob/master/tf2onnx/tf_utils.py and https://github.com/onnx/tensorflow-onnx/blob/master/tf2onnx/graph_builder.py have appropriate docstrings,https://github.com/onnx/tensorflow-onnx/graphs/commit-activity shows that there have been significant amount of activties in the past few months consistently,"The project maintainers respond to issues, not so actively, as evidenced by https://github.com/onnx/tensorflow-onnx/issues/997 and https://github.com/onnx/tensorflow-onnx/issues/996",https://github.com/onnx/tensorflow-onnx/blob/master/LICENSE,There are many files related to testing,2025-09-12,29,97,4786.1,ML Frameworks / Libraries,3,"Convert TensorFlow, Keras, Tensorflow.js and Tflite models to ONNX","convert, deep-learning, export, keras, onnx, tensorflow, tensorflowjs, tflite",large,2018-03-13T18:39:56Z
opencv/cvat,Y,14466,5486,94933,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/opencv/cvat/graphs/contributors shows that there are multiple contributors but mainly 1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README but most of the functions in the source code are not documented.,https://github.com/opencv/cvat/graphs/commit-activity shows that there have been significant amount of activties in the past few months consistently,"The project maintainers respond to issues, not so actively, as evidenced by https://github.com/opencv/cvat/issues/1870 and https://github.com/opencv/cvat/issues/1869",https://github.com/opencv/cvat/blob/develop/LICENSE,There are files related to testing,2025-09-26,73,259,15202.2,Computer Vision,7,"Annotate better with CVAT, the industry-leading data engine for machine learning. Used and trusted by teams at any scale, for data of any scale.","annotation, annotation-tool, annotations, boundingbox, computer-vision, computer-vision-annotation, dataset, deep-learning, image-annotation, image-classification, image-labeling, image-labelling-tool, imagenet, labeling, labeling-tool, object-detection, pytorch, semantic-segmentation, tensorflow, video-annotation",large,2018-06-29T14:02:45Z
opencv/open_model_zoo,N,4297,8757,91679,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/opencv/open_model_zoo/graphs/contributors shows that there are multiple contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README but most of the functions in the source code are not documented.,https://github.com/opencv/open_model_zoo/graphs/commit-activity shows that there have been significant amount of activties in the past few months consistently,"The project maintainers respond to issues, not so actively, as evidenced by https://github.com/opencv/open_model_zoo/issues/1292 and https://github.com/opencv/open_model_zoo/issues/1275",https://github.com/opencv/open_model_zoo/blob/master/LICENSE,there is no evidence of any testing done on the project.,2025-09-19,26,163,9235.9,ML Frameworks / Libraries,5,Pre-trained Deep Learning models and demos (high quality and extremely fast),"caffemodel, cnn-model, deep-learning-models, demo, inference, model, model-zoo, models, onnx-models, openvino, openvino-model-zoo, openvino-models, openvino-toolkit, pytorch-models, tensorflow-models",large,2018-10-15T10:55:02Z
opencv/openvino_training_extensions,Y,1203,1417,70685,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/opencv/openvino_training_extensions/graphs/contributors shows that there are multiple contributors,CI is not used on the project,There is a well-maintained README and some of the functions in https://github.com/opencv/openvino_training_extensions/blob/develop/pytorch_toolkit/face_recognition/evaluate_lfw.py and https://github.com/opencv/openvino_training_extensions/blob/develop/pytorch_toolkit/face_recognition/utils/ie_tools.py and https://github.com/opencv/openvino_training_extensions/blob/develop/pytorch_toolkit/face_recognition/utils/augmentation.py have appropriate docstrings,https://github.com/opencv/openvino_training_extensions/graphs/commit-activity shows that there have been significant amount of activties in the past few months consistently,"The project maintainers respond to issues, not so actively, as evidenced by https://github.com/opencv/openvino_training_extensions/issues/320 and https://github.com/opencv/openvino_training_extensions/issues/316",https://github.com/opencv/openvino_training_extensions/blob/develop/LICENSE,there is no evidence of any testing done on the project.,2025-09-26,29,37,2016.3,Computer Vision,7,"Train, Evaluate, Optimize, Deploy Computer Vision Models via OpenVINO™","action-recognition, anomaly-detection, automl, computer-vision, datumaro, deep-learning, geti, hyper-parameter-optimization, image-classification, image-segmentation, incremental-learning, machine-learning, neural-networks-compression, object-detection, openvino, pytorch, quantization, self-supervised-learning, semi-supervised-learning, transfer-learning",large,2018-10-26T14:02:29Z
OpenMined/PySyft,Y,9783,35229,74198,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/OpenMined/PySyft/graphs/contributors shows that there are multiple contributors,The project uses CI but not sure what is it,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/OpenMined/PySyft/issues/3780 and https://github.com/OpenMined/PySyft/issues/3613",https://github.com/OpenMined/PySyft/blob/master/LICENSE is provided.,There are many files related to testing.,2025-04-13,338,72,16641.9,Data Science / Traditional ML,4,Perform data science on data that remains in someone else's server,"cryptography, deep-learning, federated-learning, hacktoberfest, privacy, python, pytorch, secure-computation, syft",large,2017-07-18T20:41:16Z
open-mmlab/mmcv,Y,6271,1467,27143,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/open-mmlab/mmcv/graphs/contributors shows there are multiple contributors,CI is not used on the project,There is a well-maintained README and most of the functions in https://github.com/open-mmlab/mmcv/blob/master/mmcv/runner/epoch_based_runner.py and https://github.com/open-mmlab/mmcv/blob/master/mmcv/runner/base_runner.py and https://github.com/open-mmlab/mmcv/blob/master/mmcv/parallel/distributed.py have appropriate docstrings,https://github.com/open-mmlab/mmcv/graphs/commit-activity shows there are some activities in the past few months,"The project maintainers respond to issues, not so actively, as evidenced by https://github.com/open-mmlab/mmcv/issues/406 and https://github.com/open-mmlab/mmcv/issues/397",https://github.com/open-mmlab/mmcv/blob/master/LICENSE,There are many files related to testing,2025-04-25,13,263,10838.5,Computer Vision,2,OpenMMLab Computer Vision Foundation,,large,2018-08-22T07:05:26Z
open-mmlab/mmdetection,Y,31732,2706,161864,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/open-mmlab/mmdetection/graphs/contributors shows there are multiple contributors,CI is not used on the project,There is a well-maintained README and most of the functions in https://github.com/open-mmlab/mmdetection/blob/master/mmdet/core/post_processing/merge_augs.py and https://github.com/open-mmlab/mmdetection/blob/master/mmdet/core/mask/mask_target.py and https://github.com/open-mmlab/mmdetection/blob/master/mmdet/core/mask/structures.py have appropriate docstrings,https://github.com/open-mmlab/mmdetection/graphs/commit-activity shows that there have been significant amount of activties in the past few months consistently,"The project maintainers respond to issues, not so actively, as evidenced by https://github.com/open-mmlab/mmdetection/issues/3252 and https://github.com/open-mmlab/mmdetection/issues/3226",https://github.com/open-mmlab/mmdetection/blob/master/LICENSE,There are many files related to testing,2024-02-05,17,425,26254.6,Computer Vision,8,OpenMMLab Detection Toolbox and Benchmark,"cascade-rcnn, convnext, detr, fast-rcnn, faster-rcnn, glip, grounding-dino, instance-segmentation, mask-rcnn, object-detection, panoptic-segmentation, pytorch, retinanet, rtmdet, semisupervised-learning, ssd, swin-transformer, transformer, vision-transformer, yolo",large,2018-08-22T07:06:06Z
