GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community,Continuous Integration,Documentation,History,Issues,License,Unit Testing,Last Commit Date,Branch Count,Contributor Count,Composite Score,domain,match_score,domain_description,domain_topics,Project Size,Created Date
spmallick/learnopencv,N,22329,2608,120110,"Many folders, each have a few files inside",4 active contributors our of 17,X CI is not used on the project.,Documentation provided mostly in links,"Recent, Commit activity not negligible",146 open >> 43 closed,License provided,X Doesn't seem to have unit test,2025-09-23,5,81,12144.0,Computer Vision,7,Learn OpenCV  : C++ and Python Examples,"ai, computer-vision, computervision, deep-learning, deep-neural-networks, deeplearning, machine-learning, opencv, opencv-cpp, opencv-library, opencv-python, opencv-tutorial, opencv3",large,2015-02-17T08:00:51Z
stanfordnlp/stanza,Y,7607,4785,51429,X The source code of the project exists as ad-hoc scripts.,6 active contributors out of 18,Travis used,Documentation provided mostly in links,Commit activity not negligible,36 open << 260 closed,License provided,Quite a number of tests,2024-12-24,31,52,6038.3,Natural Language Processing,6,"Stanford NLP Python library for tokenization, sentence segmentation, NER, and parsing of many human languages","artificial-intelligence, corenlp, deep-learning, machine-learning, named-entity-recognition, natural-language-processing, nlp, python, pytorch, universal-dependencies",large,2017-09-26T08:00:56Z
streamlit/streamlit,Y,41585,8344,113797,Organised but not in modules,"2 have significantly more commits than others, but 51 contributers",CircleCI used,Documentation provided,"Recent, Commit activity not negligible",387 open < 608 closed,License provided,A number of tests https://github.com/streamlit/streamlit/tree/develop/lib/tests,2025-09-26,428,280,27537.2,Data Science / Traditional ML,3,Streamlit — A faster way to build and share data apps.,"data-analysis, data-science, data-visualization, deep-learning, developer-tools, machine-learning, python, streamlit",large,2019-08-24T00:14:52Z
tensorflow/addons,Y,1707,1519,28322,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,"2 have significantly more commits than others, but 103 contributers",X CI is not used on the project.,Documentation provided,"Recent, Commit activity not negligible",113 open < 473 closed,License provided,Few tests https://github.com/tensorflow/addons/tree/master/tools/testing,2024-04-15,30,195,6988.5,ML Frameworks / Libraries,2,Useful extra functionality for TensorFlow 2.x maintained by SIG-addons,"deep-learning, machine-learning, neural-network, python, tensorflow, tensorflow-addons",large,2018-11-26T23:57:17Z
tensorflow/data-validation,Y,773,995,28157,Organised but not in modules,"2 have significantly more commits than others, but 4 contributers",X CI is not used on the project.,Documentation provided,"Recent, Commit activity not negligible",34 open < 62 closed,License provided,X 1 integration test https://github.com/tensorflow/data-validation/tree/master/tensorflow_data_validation/integration_tests,2025-06-23,33,26,1387.7,Data Science / Traditional ML,2,Library for exploring and validating machine learning data,,large,2018-07-02T15:47:02Z
tensorflow/examples,N,8185,2187,31727,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,"1 has significantly more commits than others, but 177 contributers",X CI is not used on the project.,Documentation provided,"Recent, Commit activity not negligible",46 open < 180 closed,License provided,X Doesn't seem to have unit test,2025-08-21,16,263,11820.1,Data Science / Traditional ML,2,TensorFlow examples,"tensorflow, tensorflow-examples",large,2018-07-16T22:11:56Z
tensorflow/federated,Y,2397,5691,96954,X The source code of the project exists as ad-hoc scripts.,"4 have significantly more commits than others, but 53 contributers",X CI is not used on the project.,Documentation provided,"Recent, Commit activity not negligible",21 open < 142 closed,License provided,X Doesn't seem to have unit test,2025-09-28,230,110,5966.1,ML Frameworks / Libraries,2,An open-source framework for machine learning and other computations on decentralized data.,,large,2018-12-12T23:15:35Z
tensorflow/graphics,Y,2781,770,33411,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,"1 has significantly more commits than others, but 20contributers",X CI is not used on the project.,Documentation provided,"Recent, Commit activity not negligible",40 open < 74 closed,License provided,A number of tests https://github.com/tensorflow/graphics/tree/master/tensorflow_graphics/util/tests,2025-02-03,26,35,2393.4,Domain-Specific Applications,3,TensorFlow Graphics: Differentiable Graphics Layers for TensorFlow,,large,2019-01-08T10:39:44Z
tensorflow/model-analysis,Y,1267,1570,49874,Organised but not in modules,"2 has significantly more commits than others, but 28 contributers",X CI is not used on the project.,Documentation provided,"Recent, Commit activity not negligible",14 open < 20 closed,License provided,A number of tests https://github.com/tensorflow/graphics/tree/master/tensorflow_graphics/util/tests,2025-08-06,36,55,2627.8,Data Science / Traditional ML,2,Model analysis tools for TensorFlow,,large,2018-03-23T19:08:49Z
tensorflow/models,N,77643,9655,379080,Organised but not in modules,"100 contributers, most significant",X CI is not used on the project.,X Most of the functions in the source code are not documented.,"Recent, Commit activity not negligible",820 open << 4647 closed,License provided,Few tests https://github.com/tensorflow/models/tree/master/official/utils/testing/scripts,2025-09-27,116,790,57653.7,ML Frameworks / Libraries,2,Models and examples built with TensorFlow,,large,2016-02-05T01:15:20Z
