GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community,Continuous Integration,Documentation,History,Issues,License,Unit Testing,Last Commit Date,Branch Count,Contributor Count,Composite Score,domain,match_score,domain_description,domain_topics,Project Size,Created Date
SPFlow/SPFlow,Y,304,650,16505,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/SPFlow/SPFlow/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Little evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/SPFlow/SPFlow/issues/78 and https://github.com/SPFlow/SPFlow/issues/58 but not often",https://github.com/SPFlow/SPFlow/blob/master/LICENSE.md is provided.,There is no evidence of any testing done on the project.,2025-04-04,11,22,976.6,ML Frameworks / Libraries,3,Sum Product Flow: An Easy and Extensible Library for Sum-Product Networks,"deep-learning, graphical-models, machine-learning, mixture-model, spn, sum-product-networks, tensorflow-models",medium,2018-03-20T11:32:00Z
sql-machine-learning/elasticdl,Y,743,1829,21950,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,14 active contributors out of 18,Travis used,Documentation provided,"Recent, Commit activity not negligible",101 open << 641 closed,License provided,Tests contained,2024-01-26,9,23,1535.9,ML Frameworks / Libraries,4,Kubernetes-native Deep Learning Framework,"deep-learning, distributed-systems, kubernetes, tensorflow",medium,2018-10-22T23:53:10Z
tensorflow/io,Y,731,1700,26222,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,"1 has significantly more commits than others, but 20 contributers",X CI is not used on the project.,Documentation provided,"Recent, Commit activity not negligible",100 open < 213 closed,License provided,There are many files related to testing. https://github.com/tensorflow/io/tree/master/tests,2025-04-10,8,104,3922.4,Reinforcement Learning,2,"Dataset, streaming, and file system extensions maintained by TensorFlow SIG-IO","dataset, filesystem, streaming, tensorflow, tensorflow-io",medium,2018-11-09T22:44:05Z
tensorflow/quantum,Y,2017,934,15821,Organised but not in modules,"2 have significantly more commits than others, but 16 contributers",X CI is not used on the project.,X Most of the functions in the source code are not documented.,"Recent, Commit activity not negligible",36 open < 61 closed,License provided,A number of tests https://github.com/tensorflow/quantum/tree/master/benchmarks/scripts,2025-09-14,23,35,2137.0,ML Frameworks / Libraries,4,An open-source Python framework for hybrid quantum-classical machine learning.,"algorithms, api, cirq, google, google-quantum, machine-learning, machine-learning-algorithms, machine-learning-library, nisq, python, qml, quantum, quantum-algorithms, quantum-computing, quantum-information, quantum-machine-learning, quantum-programming, quantum-simulation, sdk, tensorflow",medium,2020-02-06T19:58:35Z
tensorflow/text,N,1273,922,18446,"Organised but not in modules, not many files too","1 has significantly more commits than others, but 23 contributers",X CI is not used on the project.,X Most of the functions in the source code are not documented.,"Recent, Commit activity not negligible",20 open < 50 closed,License provided,X few test,2025-08-18,245,111,4115.8,ML Frameworks / Libraries,3,Making text a first-class citizen in TensorFlow.,,medium,2019-05-29T22:10:03Z
tensorflow/tfjs,Y,18968,6112,12161,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,"100 contributers, most significant",X CI is not used on the project.,Documentation mostly in links,"Recent, Commit activity not negligible",376 open << 1828 closed,License provided,Have,2025-06-06,490,340,19620.800000000003,ML Frameworks / Libraries,3,A WebGL accelerated JavaScript library for training and deploying ML models.,"deep-learning, deep-neural-network, gpu-acceleration, javascript, machine-learning, neural-network, typescript, wasm, web-assembly, webgl",medium,2018-03-05T05:41:02Z
tf-encrypted/tf-encrypted,Y,1235,605,22814,Organised but not in modules,"1 has significantly more commits than others, but 24 contributers",CircleCI used,Documentation provided,Commit activity not negligible,155 open < 222 closed,License provided,Quite a number of tests,2024-09-25,59,25,1425.5,ML Frameworks / Libraries,4,A Framework for Encrypted Machine Learning in TensorFlow,"confidential-computing, cryptography, deep-learning, machine-learning, privacy, secure-computation, tensorflow",medium,2018-03-21T18:22:13Z
uber/causalml,Y,5589,653,11144,Organised but not in modules,"2 has significantly more commits than others, but 14contributers",Travis used,Documentation provided,Commits are quite spread out,20 open < 80 closed,License provided,A number,2025-09-26,127,68,4471.5,Reinforcement Learning,1,Uplift modeling and causal inference with machine learning algorithms,"causal-inference, incubation, machine-learning, uplift-modeling",medium,2019-07-09T02:08:58Z
ultralytics/yolov3,Y,10457,2899,11096,Organised but not in modules,"1 has significantly more commits than others, but 33 contributers",X CI is not used on the project.,X not much,"Recent, Commit activity not negligible",104 open << 1164 closed,License provided,X 1,2025-08-26,3,48,6492.5,Computer Vision,7,YOLOv3 in PyTorch > ONNX > CoreML > TFLite,"deep-learning, machine-learning, object-detection, ultralytics, yolo, yolov3, yolov5",medium,2018-08-26T08:57:20Z
ultralytics/yolov5,Y,55509,2916,11454,Organised but not in modules,"1 has significantly more commits than others, but 11 contributers",X CI is not used on the project.,Tutorials provided,"Recent, Commit activity not negligible",139 open > 105 closed,License provided,X 1,2025-09-21,12,335,33128.4,Computer Vision,8,YOLOv5 🚀 in PyTorch > ONNX > CoreML > TFLite,"coreml, deep-learning, ios, machine-learning, ml, object-detection, onnx, pytorch, tflite, ultralytics, yolo, yolov3, yolov5",medium,2020-05-18T03:45:11Z
vanvalenlab/deepcell-tf,Y,465,421,14131,Organised but not in modules,"1 has significantly more commits than others, but 12 contributers",Travis used,Documentation provided,"Recent, Commit activity not negligible",29 open << 120 closed,License provided,X Doesn't seem to have unit test,2024-08-30,19,21,942.3,ML Frameworks / Libraries,2,Deep Learning Library for Single Cell Analysis,"cell-biology, deep-learning, instance-segmentation, tensorflow",medium,2018-05-16T17:41:14Z
vespa-engine/sample-apps,Y,380,5644,11979,The source code of this project has been organised into different modules in a way that shows the relationship between different files. https://github.com/tensorflow/privacy/tree/master/tensorflow_privacy/privacy,around 14 have significant contributions,Travis used,Documentation provided,"Recent, Commit activity not negligible",no issues,License provided,X Doesn't seem to have unit test,2025-09-24,40,63,3735.2,MLOps / Deployment,2,"Repository of sample applications for https://vespa.ai, the open big data serving engine ",,medium,2017-08-16T09:12:25Z
vwxyzjn/cleanrl,N,7945,841,12634,X The source code of the project exists as ad-hoc scripts.,"1 has significantly more commits than others, 2 contributers",X CI is not used on the project.,Documentation provided,"Recent, Commit activity not negligible",3 open < 7 closed,License provided,A number,2025-07-08,126,42,4690.3,Reinforcement Learning,8,"High-quality single file implementation of Deep Reinforcement Learning algorithms with research-friendly features (PPO, DQN, C51, DDPG, TD3, SAC, PPG)","a2c, actor-critic, advantage-actor-critic, ale, atari, deep-learning, deep-reinforcement-learning, gym, machine-learning, phasic-policy-gradient, ppo, proximal-policy-optimization, python, pytorch, reinforcement-learning, wandb",medium,2019-06-07T16:31:50Z
yzhao062/pyod,Y,9471,1895,16576,Organised but not in modules and few files,"1 has significantly more commits than others, 14 contributers",CircleCI used,Have a docs folder,"Recent, Commit activity not negligible",57 open < 66 closed,License provided,Quite a number,2025-04-29,2,53,5946.9,Data Science / Traditional ML,4,"A Python Library for Outlier and Anomaly Detection, Integrating Classical and Deep Learning Techniques","anomaly, anomaly-detection, autoencoder, data-analysis, data-mining, data-science, deep-learning, fraud-detection, machine-learning, neural-networks, novelty-detection, out-of-distribution-detection, outlier-detection, outlier-ensembles, outliers, python, python3, unsupervised-learning",medium,2017-10-03T20:29:04Z
