GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community,Continuous Integration,Documentation,History,Issues,License,Unit Testing,Last Commit Date,Branch Count,Contributor Count,Composite Score,domain,match_score,domain_description,domain_topics,Project Size,Created Date
kermitt2/delft,Y,404,942,11351,The source code of the project exists as ad-hoc scripts.,Multiple contributors: https://github.com/kermitt2/delft/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a README, some codes are documented",Some commits the past month,"More closed than open, author does not respond frequently",https://github.com/kermitt2/delft/blob/master/LICENSE.txt,There is no evidence of any testing done on the project.,2025-05-19,32,5,594.2,Natural Language Processing,6,a Deep Learning Framework for Text https://delft.readthedocs.io/,"deep-learning, keras, ner, nlp, sequence-labeling, text-classification",medium,2018-04-13T22:15:32Z
KevinMusgrave/pytorch-metric-learning,Y,6232,1309,15569,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/KevinMusgrave/pytorch-metric-learning/graphs/contributors shows that there are multiple contributors but mainly 1 person,CI is not used on the project.,There is a well-maintained documentation,Evidence of sustained commit activity,"The project author respond to issues, as evidenced by https://github.com/KevinMusgrave/pytorch-metric-learning/issues/122 and https://github.com/KevinMusgrave/pytorch-metric-learning/issues/116",https://github.com/KevinMusgrave/pytorch-metric-learning/blob/master/LICENSE is provided.,There are many files related to testing.,2025-08-17,20,38,4025.5,Computer Vision,2,"The easiest way to use deep metric learning in your application. Modular, flexible, and extensible. Written in PyTorch.","computer-vision, contrastive-learning, deep-learning, deep-metric-learning, embeddings, image-retrieval, machine-learning, metric-learning, pytorch, self-supervised-learning",medium,2019-10-23T17:20:35Z
koaning/scikit-lego,Y,1360,569,10542,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,Multiple contributors: https://github.com/koaning/scikit-lego/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,More closed issues than open. Project authors respond to issues: https://github.com/koaning/scikit-lego/issues/380,https://github.com/koaning/scikit-lego/blob/master/LICENSE,There are many files related to testing.,2025-09-15,12,60,2514.7,Data Science / Traditional ML,2,Extra blocks for scikit-learn pipelines.,"common-sense, machine-learning, scikit-learn",medium,2019-01-21T15:30:15Z
kubeflow/examples,N,1447,544,11038,The source code of the project exists as ad-hoc scripts.,https://github.com/kubeflow/examples/graphs/contributors shows that there are multiple contributors,CI is not used on the project,"There is a well-maintained README, and the majority of the functions in https://github.com/kubeflow/examples/blob/master/object_detection/serving_script/standard_fields.py and https://github.com/kubeflow/examples/blob/master/code_search/src/code_search/nmslib/search_engine.py and https://github.com/kubeflow/examples/blob/master/mnist/model.py have appropriate docstrings",https://github.com/kubeflow/examples/graphs/commit-activity shows there has been activities in the past few months consistently,"The project maintainers respond to issues, as evidenced by https://github.com/kubeflow/examples/issues/806 and https://github.com/kubeflow/examples/issues/798",https://github.com/kubeflow/examples/blob/master/LICENSE,There are many files related to testing,2025-04-14,86,93,3532.0,MLOps / Deployment,9,A repository to host extended examples and tutorials,,medium,2018-02-01T21:13:10Z
kubeflow/katib,Y,1628,1361,15845,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/kubeflow/katib/graphs/contributors shows that there are multiple contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README but Most of the functions in the source code are not documented.,https://github.com/kubeflow/katib/graphs/commit-activity shows there has been activities in the past few months consistently,"The project maintainers respond to issues, as evidenced by https://github.com/kubeflow/katib/issues/1211 and https://github.com/kubeflow/katib/issues/1211",https://github.com/kubeflow/katib/blob/master/LICENSE,There are many files related to testing,2025-09-24,21,135,5109.5,ML Frameworks / Libraries,5,Automated Machine Learning on Kubernetes,"ai, automl, huggingface, hyperparameter-tuning, jax, kubeflow, kubernetes, llm, machine-learning, mlops, neural-architecture-search, pytorch, scikit-learn, tensorflow",medium,2018-04-03T17:07:12Z
l3p-cv/lost,Y,572,2908,15154,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/l3p-cv/lost/graphs/contributors shows that there are multiple contributors,CI is not used on the project,"There is a well-maintained README, and the majority of the functions in https://github.com/l3p-cv/lost/blob/master/backend/lost/pyapi/script.py and https://github.com/l3p-cv/lost/blob/master/backend/lost/logic/label.py have appropriate docstrings",https://github.com/l3p-cv/lost/graphs/commit-activity shows there has been activities in the past few months consistently,"The project maintainers respond to issues, as evidenced by https://github.com/l3p-cv/lost/issues/74 and https://github.com/l3p-cv/lost/issues/58",https://github.com/l3p-cv/lost/blob/master/LICENSE,There are many files related to testing,2025-09-24,57,12,1461.2,Computer Vision,2,Label Objects and Save Time (LOST) - Design your own smart Image Annotation process in a web-based environment.,"annotation-framework, annotation-process, annotation-tool, bounding-boxes, computer-vision, image-annotation, machine-learning, machine-vision, polygon-annotations",medium,2018-11-12T16:04:39Z
lab-ml/labml,Y,2232,2362,16420,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/lab-ml/labml/graphs/contributors shows that there are multiple contributors but mainly 1,CI is not used on the project,"There is a well-maintained README, but only some of the functions in scripts like https://github.com/lab-ml/labml/blob/master/labml/experiment.py and https://github.com/lab-ml/labml/blob/master/labml/logger.py have appropriate docstrings",https://github.com/lab-ml/labml/graphs/commit-activity shows there has been activities in the past few months consistently,"The project maintainers respond to issues, as evidenced by https://github.com/lab-ml/labml/issues/38 and https://github.com/lab-ml/labml/issues/28",https://github.com/lab-ml/labml/blob/master/license,There are many files related to testing,2025-04-10,7,8,1841.4,ML Frameworks / Libraries,3,🔎 Monitor deep learning model training and hardware usage from your mobile phone 📱,"analytics, deep-learning, experiment, fastai, keras, keras-tensorflow, machine-learning, mobile, pytorch, pytorch-lightning, tensorboard, tensorflow, tensorflow2, visualization",medium,2018-11-16T09:34:48Z
learnables/cherry,Y,199,415,11180,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/learnables/cherry/graphs/contributors shows that there are multiple contributors but mainly 1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and the majority of the functions in https://github.com/learnables/cherry/blob/master/cherry/models/robotics.py and https://github.com/learnables/cherry/blob/master/cherry/models/tabular.py and https://github.com/learnables/cherry/blob/master/cherry/models/utils.py have appropriate docstrings",https://github.com/learnables/cherry/graphs/commit-activity shows there has been only 1 commit in the past month,"The project maintainers respond to issues, as evidenced by https://github.com/learnables/cherry/issues/33 and https://github.com/learnables/cherry/issues/22",https://github.com/learnables/cherry/blob/master/LICENSE,There are many files related to testing,2025-06-22,6,9,474.1,Reinforcement Learning,4,A PyTorch Library for Reinforcement Learning Research,"learning, pytorch, reinforcement, reinforcement-learning, rl",medium,2018-11-30T01:46:38Z
limbo018/DREAMPlace,Y,866,787,14304,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/limbo018/DREAMPlace/graphs/contributors shows that there are multiple contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and the majority of the functions in https://github.com/limbo018/DREAMPlace/blob/master/dreamplace/BasicPlace.py and https://github.com/limbo018/DREAMPlace/blob/master/dreamplace/Params.py and https://github.com/limbo018/DREAMPlace/blob/master/dreamplace/EvalMetrics.py have appropriate docstrings",https://github.com/limbo018/DREAMPlace/graphs/commit-activity shows there has been activities in the past few months consistently,"The project maintainers respond to issues, as evidenced by https://github.com/limbo018/DREAMPlace/issues/24 and https://github.com/limbo018/DREAMPlace/issues/23",https://github.com/limbo018/DREAMPlace/blob/master/LICENSE,There are many files related to testing,2025-09-27,20,24,1302.5,ML Frameworks / Libraries,2,Deep learning toolkit-enabled VLSI placement,"deep-learning, gpu-acceleration, pytorch, vlsi, vlsi-physical-design, vlsi-placement",medium,2019-02-28T06:09:05Z
MIC-DKFZ/nnUNet,Y,7341,1773,14017,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/MIC-DKFZ/nnUNet/graphs/contributors shows that there are multiple contributors but mainly 1,CI is not used on the project.,There is a well-maintained documentation,Evidence of sustained commit activity but not last month,"The project maintainers respond to issues, as evidenced by https://github.com/MIC-DKFZ/nnUNet/issues/239 and https://github.com/MIC-DKFZ/nnUNet/issues/212",https://github.com/MIC-DKFZ/nnUNet/blob/master/LICENSE is provided.,Only managed to find 1 file related to testing,2025-08-15,6,77,5778.3,Domain-Specific Applications,3,,segmentation,medium,2019-04-17T08:10:56Z
microsoft/hummingbird,Y,3481,481,14949,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/microsoft/hummingbird/graphs/contributors shows that there are multiple contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and the majority of the functions in https://github.com/microsoft/hummingbird/blob/master/hummingbird/ml/convert.py and https://github.com/microsoft/hummingbird/blob/master/hummingbird/ml/operator_converters/skl_decision_tree.py and https://github.com/microsoft/hummingbird/blob/master/hummingbird/ml/ir_converters/topology.py have appropriate docstrings",https://github.com/microsoft/hummingbird/graphs/commit-activity shows that there have been few activities in the past few months with some activities in the last month.,"The project maintainers respond to issues, as evidenced by https://github.com/microsoft/hummingbird/issues/184 and https://github.com/microsoft/hummingbird/issues/181",https://github.com/microsoft/hummingbird/blob/master/LICENSE,There are many files related to testing,2025-07-17,31,35,2586.7,ML Frameworks / Libraries,5,Hummingbird compiles trained ML models into tensor computation for faster inference.,"machine-learning, neural-networks, pytorch, scikit-learn, tensor-computation",medium,2020-03-12T20:27:03Z
