Repo,Size,LOC,ML_Density,Python_Density
zhanghang1989/PyTorch-Encoding,small,6905,0.5792903692976104,41.27443881245475
amaiya/ktrain,medium,15566,1.0921238596942053,40.28009764872157
analyticalmindsltd/smote_variants,medium,21361,2.715228687795515,6.0858574036796025
apache/submarine,medium,13139,0.22832787883400565,36.5324606134409
autorope/donkeycar,medium,22292,0.9420419881571863,53.02350619056163
BindsNET/bindsnet,medium,14028,0.570287995437696,43.62703165098375
BloodAxe/pytorch-toolbelt,medium,12133,0.4120992334954257,29.753564658369736
brainiak/brainiak,medium,17865,5.261684858662189,53.45647914917436
Calamari-OCR/calamari,medium,11088,0.18037518037518038,37.42784992784993
cornellius-gp/gpytorch,medium,24163,1.3243388652071348,41.79944543310019
CornellNLP/Cornell-Conversational-Analysis-Toolkit,medium,16129,2.9140058280116556,39.80407960815921
cornell-zhang/heterocl,medium,20269,0.14800927524791554,52.04992846218363
cpnota/autonomous-learning-library,medium,10618,0.1883593897155773,24.1100018835939
danielegrattarola/spektral,medium,10445,0.19147917663954045,48.2527525131642
datamllab/rlcard,medium,12848,0.1556662515566625,28.175591531755916
deepmind/dm-haiku,medium,20792,0.04809542131589072,49.00923432089265
deepmind/sonnet,medium,13196,0.37890269778720825,51.60654743861776
deepmipt/DeepPavlov,medium,16907,0.17744129650440646,53.70556574200035
DigitalSlideArchive/HistomicsTK,medium,11307,5.3064473335102145,44.04351286813478
DLR-RM/stable-baselines3,medium,14536,1.1695101816180518,36.80517336268574
DSE-MSU/DeepRobust,medium,14598,5.343197698314837,90.286340594602
evilsocket/pwnagotchi,medium,12470,0.0,44.26623897353649
facebookresearch/CrypTen,medium,21718,4.3282070172207385,62.8510912607054
fastai/fastai,medium,14973,0.06678688305616777,95.17130835503906
f-dangel/backpack,medium,16500,0.06060606060606061,41.75757575757576
fepegar/torchio,medium,14026,0.6416654783972623,30.30086981320405
flatironinstitute/CaImAn,medium,24964,1.722480371735299,58.76462105431822
google/automl,medium,22342,0.0,26.720973950407302
google/qkeras,medium,23397,0.0,27.35393426507672
google-research/meta-dataset,medium,15178,0.06588483331137172,72.60508630913164
google-research/tensor2robot,medium,16147,0.0,34.74329596829132
GRAAL-Research/poutyne,medium,12874,0.31070374398011497,13.826316607115116
IBM/AIF360,medium,13835,17.058185760751716,47.70509577159378
IBM/AIX360,medium,17132,15.001167406023814,50.37356992762083
interpretml/interpret-community,medium,10499,5.905324316601581,73.05457662634537
jantic/DeOldify,medium,12886,0.3880180040353873,72.09374514977495
keras-team/keras-tuner,medium,10943,0.18276523805172257,57.388284748240885
kermitt2/delft,medium,11351,0.5285877896220597,63.518632719584176
KevinMusgrave/pytorch-metric-learning,medium,15569,4.945725480120752,29.867043483846103
koaning/scikit-lego,medium,10542,10.055018023145513,61.84784670840448
kubeflow/examples,medium,11038,3.2614604094944735,31.07447001268346
kubeflow/katib,medium,15845,0.18933417481855475,61.28116124960555
l3p-cv/lost,medium,15154,1.9796753332453478,51.86749373102811
lab-ml/labml,medium,16420,1.0353227771010962,28.014616321559075
learnables/cherry,medium,11180,0.35778175313059035,26.475849731663683
limbo018/DREAMPlace,medium,14304,10.766219239373601,62.22035794183446
MIC-DKFZ/nnUNet,medium,14017,0.35670970963829635,32.81729328672327
microsoft/hummingbird,medium,14949,3.0771289049434745,58.2647668740384
mittagessen/kraken,medium,13974,0.0,66.12279948475741
mljar/mljar-supervised,medium,19321,15.061332229180683,40.681124165415866
mpariente/asteroid,medium,19013,3.260926734339662,29.611318571503705
namisan/mt-dnn,medium,13012,0.0768521364893944,40.501075929910854
nanoporetech/medaka,medium,13952,0.286697247706422,34.475344036697244
norse/norse,medium,14090,0.7806955287437899,27.182398864442867
nussl/nussl,medium,15649,0.830724007923829,35.01821202632756
nutonomy/nuscenes-devkit,medium,14748,1.5595334960672633,24.274477895307836
onnx/onnxmltools,medium,25210,0.8726695755652518,21.697738992463307
OpenNMT/OpenNMT-py,medium,26821,0.33555795831624474,30.610342641959658
openvinotoolkit/model_server,medium,13305,0.0,36.903419767004884
PacktPublishing/Deep-Reinforcement-Learning-Hands-On,medium,11006,0.27257859349445757,50.24532073414501
pyannote/pyannote-audio,medium,10618,0.0,46.43058956488981
pytorch/text,medium,14307,0.20968756552736423,29.635842594534143
pytorch/tutorials,medium,14427,1.3169751161017538,79.29576488528453
QData/TextAttack,medium,25560,0.3129890453834116,23.23943661971831
quantumblacklabs/kedro,medium,24084,1.328682943032719,83.45789735924265
ria-com/nomeroff-net,medium,10722,1.212460361872785,43.74183920910278
scikit-learn-contrib/imbalanced-learn,medium,16049,0.9346376721291046,50.283506760545826
SeldonIO/alibi,medium,20797,3.26970236091744,83.81016492763379
SeldonIO/alibi-detect,medium,24028,1.1236890294656234,72.54036956883635
skorch-dev/skorch,medium,20587,1.4572302909603148,80.48768640404138
slundberg/shap,medium,23375,9.454545454545455,38.41711229946524
snap-stanford/ogb,medium,21473,6.706096027569506,47.92064453034043
SPFlow/SPFlow,medium,16505,0.12117540139351712,43.44138139957589
sql-machine-learning/elasticdl,medium,21950,0.18223234624145787,40.182232346241456
tensorflow/io,medium,26222,0.15254366562428495,18.228968042102053
tensorflow/quantum,medium,15821,0.0,23.513052272296314
tensorflow/text,medium,18446,0.0,22.172828797571288
tensorflow/tfjs,medium,12161,0.0,11.594441246608008
tf-encrypted/tf-encrypted,medium,22814,0.04383273428596476,37.95914789164548
uber/causalml,medium,11144,13.280689160086144,57.60947595118449
ultralytics/yolov3,medium,11096,3.604902667627974,45.151405912040374
ultralytics/yolov5,medium,11454,3.8414527675921075,44.08940108259123
vanvalenlab/deepcell-tf,medium,14131,0.7784304012454887,36.232396857971835
vespa-engine/sample-apps,medium,11979,2.337423825027131,21.537690959178562
vwxyzjn/cleanrl,medium,12634,0.2374544878898211,42.82095931613107
yzhao062/pyod,medium,16576,1.5685328185328185,48.865830115830114
aiqm/torchani,large,53385,0.636883019574787,9.684368268240142
allegroai/trains,large,157601,0.26015063356196977,20.437687578124503
apache/beam,large,249436,1.8842508699626357,55.32481277762633
arviz-devs/arviz,large,33576,0.536097212294496,17.75077436263998
avrae/avrae,large,35896,0.0,27.969690216180076
awslabs/amazon-sagemaker-examples,large,70067,2.9971313171678537,41.360412176916384
bulletphysics/bullet3,large,100791,0.9623875147582622,28.06798226032086
calico/basenji,large,39869,6.94775389400286,35.3407409265344
CLUEbenchmark/CLUE,large,48963,0.16338868124910647,92.39629924636971
commaai/openpilot,large,45846,0.06543646119617852,51.847489421105436
creme-ml/creme,large,31014,3.482298316889147,36.43515831559941
data-science-on-aws/workshop,large,95889,3.0660451146638303,95.6105496980884
deepchem/deepchem,large,105916,0.6703425355942445,47.52822991804827
deepfakes/faceswap,large,46036,0.02172213050656008,13.619775827613173
deepmind/open_spiel,large,64877,0.8323442822571945,29.517394454120875
determined-ai/determined,large,93990,0.09575486753909991,32.0353229066922
dmlc/dgl,large,197271,0.9530037359774118,61.85399779998073
facebookresearch/habitat-api,large,64676,0.21646360319129196,35.43818417960294
facebookresearch/mmf,large,43269,0.2080011093392498,40.39843768055652
facebookresearch/nevergrad,large,32642,1.3173212425709209,22.241284235034616
facebookresearch/ReAgent,large,49789,0.32135612283837794,40.06909156641025
feast-dev/feast,large,98817,3.764534442454234,40.17527348533147
FederatedAI/FATE,large,52191,2.605813262823092,54.08978559521756
flairNLP/flair,large,35868,0.5576000892160142,32.03412512546002
freewym/espresso,large,141225,0.3965303593556382,33.27314568950257
galaxyproject/galaxy,large,351424,0.0,49.959592970315065
geomstats/geomstats,large,52651,0.2279158990332567,43.96877552183245
google/clusterfuzz,large,106396,0.0,28.393924583630962
google/flax,large,64703,0.12364187131972242,54.943356567701656
google/tf-quant-finance,large,50669,0.09867966606801003,18.413625688290672
GoogleCloudPlatform/professional-services,large,82363,1.3112684093585711,37.213311802629825
GoogleCloudPlatform/python-docs-samples,large,138315,0.1373676029353288,47.54365036330116
GoogleCloudPlatform/training-data-analyst,large,108122,0.5734263147185586,101.30223266310279
google-research/google-research,large,1307312,1.4388302103858912,27.340833710697982
guildai/guildai,large,51790,0.3475574435219154,26.64607067001352
heartexlabs/label-studio,large,52356,0.1719000687600275,50.786920314768125
home-assistant/core,large,2109291,0.0,34.710715591163094
huggingface/transformers,large,988895,0.2093245491179549,50.22070088330915
huseinzol05/Malaya,large,603277,0.07459260008254914,12.307779013620609
IBM/adversarial-robustness-toolbox,large,80632,1.79829348149618,28.33862486357774
IBM/lale,large,80917,2.681760322305572,20.06994821854493
jrzaurin/pytorch-widedeep,large,32158,3.669382424280117,31.096461222712854
kornia/kornia,large,84657,0.16537321190214632,57.86881179347248
kubeflow/kfserving,large,62085,0.32213900297978576,31.79511959410486
kubeflow/pipelines,large,110404,0.10869171406833086,44.491141625303435
magenta/magenta,large,44690,0.022376370552696354,23.517565450883865
microsoft/ai-edu,large,31803,5.251076942426815,118.13350941735057
microsoft/botbuilder-python,large,47236,0.0,23.710729104919974
microsoft/DeepSpeed,large,96442,0.8191451857074719,63.260819974699814
microsoft/MMdnn,large,27846,0.07182360123536594,51.21022768081591
mindsdb/mindsdb,large,134139,8.849029737809287,39.399428950566204
mlflow/mlflow,large,320527,2.695560748392491,48.791521463090476
mlperf/inference,large,52082,1.2864329326830766,34.6952881993779
mlperf/training,large,78482,0.17838485257766112,43.93364083484111
mozilla/bugbug,large,28261,5.37843671490747,34.32291850960688
NVIDIA/DeepLearningExamples,large,294144,1.0335073977371627,50.30529264577894
NVIDIA/Megatron-LM,large,135466,0.37647823069995423,36.82842927376611
NVIDIA/NeMo,large,422797,0.9957497333235571,39.22922821117463
NVIDIA/TRTorch,large,91885,0.09794852260978397,55.37356478206454
NVIDIAGameWorks/kaolin,large,42464,0.0,65.11397889977393
onnx/tensorflow-onnx,large,61422,0.13024649148513562,25.70740125687864
opencv/cvat,large,94933,0.010533744851632203,32.844216447389215
opencv/open_model_zoo,large,91679,0.3163210768005759,34.7625955780495
opencv/openvino_training_extensions,large,70685,0.9054254792388767,67.02978000990309
OpenMined/PySyft,large,74198,0.633440254454298,50.54044583411952
open-mmlab/mmcv,large,27143,0.6999963158088641,42.03662085989021
open-mmlab/mmdetection,large,161864,0.6610487816932733,24.329066376711314
openvinotoolkit/openvino,large,145379,0.06190715302760372,48.2600650712964
PaddlePaddle/models,large,45510,1.4941771039332015,44.759393539881344
PaddlePaddle/PARL,large,48648,1.4594639039631638,47.11396151948693
pgmpy/pgmpy,large,45648,5.8491062039957935,20.964773922187174
Project-MONAI/MONAI,large,150944,1.09312062751749,28.447636209455162
pymc-devs/pymc3,large,59576,0.5371290452531221,73.48596750369276
pyro-ppl/pyro,large,89231,0.38103349732716213,39.11196781387635
pytorch/audio,large,40441,0.12363690314285007,33.258326945426674
pytorch/botorch,large,89598,0.4799214268175629,26.786312194468625
pytorch/captum,large,42238,0.09470145366731379,21.947061887399972
pytorch/fairseq,large,145783,0.4115706220889953,33.81052660461096
pytorch/ignite,large,48124,0.14545756794946388,56.87390906824038
pytorch/serve,large,31729,0.40971981468057617,43.650918717892154
pytorch/vision,large,76374,0.11784115012962527,58.64561238117684
PyTorchLightning/pytorch-lightning,large,86858,0.34539132837504893,58.474751893895785
quantumlib/Cirq,large,169329,0.6673399122418486,36.662355532720326
ray-project/ray,large,637199,1.1205290654881757,54.581064942035376
ROCmSoftwarePlatform/tensorflow-upstream,large,757020,0.02906131938390003,35.84053261472616
rusty1s/pytorch_geometric,large,124071,1.370183201553949,35.32654689653505
rwightman/pytorch-image-models,large,83829,0.1789356905128297,33.71148409261711
rwth-i6/returnn,large,145490,0.06873324627122139,27.101519004742592
spmallick/learnopencv,large,120110,0.0,39.963366913662476
stanfordnlp/stanza,large,51429,0.33055280094888095,49.19403449415699
streamlit/streamlit,large,113797,0.2021142912379061,31.758306457990987
tensorflow/addons,large,28322,0.4943153732081068,30.8240943436198
tensorflow/data-validation,large,28157,1.5626664772525483,13.957452853642078
tensorflow/examples,large,31727,0.5358212248242822,29.15497840955653
tensorflow/federated,large,96954,0.0,22.433318893495887
tensorflow/graphics,large,33411,0.08979078746520607,23.585046840860795
tensorflow/model-analysis,large,49874,0.48121265589284995,17.664514576733367
tensorflow/models,large,379080,0.20839928247335657,35.3803946396539
tensorflow/privacy,large,30114,0.6973500697350069,25.868366872550972
TheAlgorithms/Python,large,46108,1.149475145311009,46.824846013706946
thu-ml/tianshou,large,35503,0.14083316902796947,32.61696194687773
uber/ludwig,large,95376,3.22932393893642,33.478023821506454
UKPLab/sentence-transformers,large,39022,0.4869048229204039,28.62487827379427
Unity-Technologies/ml-agents,large,27918,0.0,22.745182319650407
vaexio/vaex,large,63938,1.95501892458319,101.9737871062592
VertaAI/modeldb,large,111928,0.0,43.411836180401686
wandb/client,large,217482,0.38164077946680647,36.527160868485666
x4nth055/pythoncode-tutorials,large,41945,0.38145190129932055,21.981165812373344
XanaduAI/pennylane,large,350353,0.08848218796470987,36.74008785424986
XanaduAI/strawberryfields,large,31745,0.9765317372814616,51.85068514726729
Xilinx/brevitas,large,58300,0.18867924528301888,54.734133790737566
YosefLab/scVI,large,52441,3.1082549913235824,39.70176007322515
