GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community,Continuous Integration,Documentation,History,Issues,License,Unit Testing,Last Commit Date
cisco/mindmeld,Y,688,3317,37579,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/cisco/mindmeld/graphs/contributors shows that there are multiple contributors,The project uses Circle CI,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/cisco/mindmeld/issues/137 and https://github.com/cisco/mindmeld/issues/148",https://github.com/cisco/mindmeld/blob/master/LICENSE is provided.,There are many files related to testing,2023-01-31
ClementPinard/SfmLearner-Pytorch,Y,1030,132,2624,The source code of the project exists as ad-hoc scripts.,https://github.com/ClementPinard/SfmLearner-Pytorch/graphs/contributors shows that there are multiple contributors but mainly author,CI is not used on the project.,There is a well-maintained documentation,No evidence of sustained commit activity,"The project author respond to issues, as evidenced by https://github.com/ClementPinard/SfmLearner-Pytorch/issues/73 and https://github.com/ClementPinard/SfmLearner-Pytorch/issues/77.",https://github.com/ClementPinard/SfmLearner-Pytorch/blob/master/LICENSE is provided.,There are many files related to testing.,2023-01-23
CLUEbenchmark/CLUE,Y,4188,528,48963,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/CLUEbenchmark/CLUE/graphs/contributors shows that there are multiple contributors but mainly author,CI is not used on the project.,There is a well-maintained documentation,No evidence of sustained commit activity,The author of the project reply to only some of the issues,"There are multiple license files found in models folder such as bert, ernie and bert_wwm.ext",There are many files related to testing specifically 1-2 for each model,2025-09-08
cmu-db/ottertune,Y,1225,384,14174,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/cmu-db/ottertune/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,Most of the functions in the source code are not documented.,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/cmu-db/ottertune/issues/347 and https://github.com/cmu-db/ottertune/issues/412",https://github.com/cmu-db/ottertune/blob/master/LICENSE is provided.,There are many files related to testing,2020-09-19
cmusatyalab/OpenTPOD,Y,118,272,1772,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,There are no contributors to the project other than the author.,CI is not used on the project,There is a well-maintained documentation,Evidence of sustained commit activity but not stable,"Only 1 issue raised by users, the rest raised by author and he/she do reply/closes them",https://github.com/cmusatyalab/OpenTPOD/blob/master/LICENSE is provided.,Only 1 test file,2020-10-08
colearninglounge/co-learning-lounge,N,487,345,1168,Organized into projects where each project source code have been organised into different modules in a way that shows the relationship between different files.,https://github.com/colearninglounge/co-learning-lounge/graphs/contributors shows that there are multiple contributors,CI is not used on the project,There is a well-maintained documentation,Evidence of sustained commit activity but not stable,Open issues more than closed,"There is no license to be found, either in the form of a license file or written inside the source code file.","There is no evidence of testing however, the project is mainly on Jupyter so testing may be on the jupyter notebooks",2021-09-30
commaai/openpilot,Y,56169,15894,45846,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/commaai/openpilot/graphs/contributors shows that there are multiple contributors,The project uses Jenkins CI,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/commaai/openpilot/issues/1829 and https://github.com/commaai/openpilot/issues/1835",https://github.com/commaai/openpilot/blob/master/LICENSE is provided.,There are many files related to testing,2025-09-27
ConvLab/ConvLab,Y,404,501,36887,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/ConvLab/ConvLab/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,Some of the functions are documented,No evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/ConvLab/ConvLab/issues/64 and https://github.com/ConvLab/ConvLab/issues/54.",https://github.com/ConvLab/ConvLab/blob/master/LICENSE is provided.,There are files related to testing but all over the place,2020-06-08
CorentinJ/Real-Time-Voice-Cloning,Y,57518,299,4322,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/CorentinJ/Real-Time-Voice-Cloning/graphs/contributors shows that there are multiple contributors but mainly author,CI is not used on the project.,There is a well-maintained documentation,No evidence of sustained commit activity until June,"The project maintainers respond to issues, as evidenced by https://github.com/CorentinJ/Real-Time-Voice-Cloning/issues/392 and https://github.com/CorentinJ/Real-Time-Voice-Cloning/issues/337.",https://github.com/CorentinJ/Real-Time-Voice-Cloning/blob/master/LICENSE.txt is provided.,There is no evidence of any testing done on the project.,2025-09-23
cornellius-gp/gpytorch,Y,3777,3975,24163,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/cornellius-gp/gpytorch/graphs/contributors shows that there are multiple contributors.,The project uses TravisCI to test their build and codes,There is a well maintained README,Checking https://github.com/cornellius-gp/gpytorch/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/cornellius-gp/gpytorch/issues/1188 and https://github.com/cornellius-gp/gpytorch/issues/1184",https://github.com/cornellius-gp/gpytorch/blob/master/LICENSE is provided.,There are many files related to testing.,2025-09-03
CornellNLP/Cornell-Conversational-Analysis-Toolkit,Y,603,1497,16129,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/CornellNLP/Cornell-Conversational-Analysis-Toolkit/graphs/contributors shows that there are multiple contributors,The project uses CI but not sure what is it,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/CornellNLP/Cornell-Conversational-Analysis-Toolkit/issues/39 and https://github.com/CornellNLP/Cornell-Conversational-Analysis-Toolkit/issues/33.",https://github.com/CornellNLP/Cornell-Conversational-Analysis-Toolkit/blob/master/LICENSE.md is provided.,"There is no evidence of testing however, the project is mainly on Jupyter so testing may be on the jupyter notebooks",2025-09-22
cornell-zhang/heterocl,Y,341,1123,20269,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/cornell-zhang/heterocl/graphs/contributors shows that there are multiple contributors.,The project uses CircleCI to test their build and codes,There is a well maintained README,The project only has 11 commits in the past month.,The project maintainer only replied to selected few issues,https://github.com/cornell-zhang/heterocl/blob/master/LICENSE is provided.,There are many files related to testing.,2024-04-20
cortexlabs/cortex,Y,8035,2327,3845,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/cortexlabs/cortex/graphs/contributors shows that there are multiple contributors.,The project uses CircleCI to test their build and codes,"There is a well maintained README at https://github.com/cortexlabs/cortex/tree/master/examples/keras/document-denoiser , https://github.com/cortexlabs/cortex/tree/master/examples/onnx/multi-model-classifier and https://github.com/cortexlabs/cortex/tree/master/examples/tensorflow/image-classifier-resnet50",Checking https://github.com/cortexlabs/cortex/pulse/monthly there has been significant commit activity in the past month.,The project maintainer only replied to selected few issues,https://github.com/cortexlabs/cortex/blob/master/LICENSE is provided.,There is no evidence of any testing done on the project.,2023-03-04
cpnota/autonomous-learning-library,Y,652,300,10618,The source code of the project exists as ad-hoc scripts.,https://github.com/cpnota/autonomous-learning-library/graphs/contributors shows that there are a handful (4) of contributors. ,The project hardly uses TravisCI to test their build and codes,Most of the functions in the source code are not documented.,Checking https://github.com/cpnota/autonomous-learning-library/pulse/monthly there has been significant commit activity in the past month.,The author of the project does not reply to issues or close them.,https://github.com/cpnota/autonomous-learning-library/blob/master/LICENSE is provided,There is no evidence of any testing done on the project.,2024-03-17
creme-ml/creme,Y,5558,3982,31014,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/creme-ml/creme/graphs/contributors shows that there are multiple contributors.,The project uses TravisCI to test their build and codes,Most of the functions in the source code are not documented.,Checking https://github.com/creme-ml/creme/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/creme-ml/creme/issues/302",https://github.com/cpnota/autonomous-learning-library/blob/master/LICENSE is provided,There are many files related to testing.,2025-09-26
CyberZHG/keras-bert,Y,2427,142,1970,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/CyberZHG/keras-bert/graphs/contributors shows that there are multiple contributors but mainly author,The project uses Travis CI,Most of the functions in the source code are not documented.,No evidence of sustained commit activity,"The author of the project does not reply to issues, almost all issues are closed by bot",https://github.com/CyberZHG/keras-bert/blob/master/LICENSE is provided.,There are many files related to testing.,2022-01-01
DagnyT/hardnet,N,525,107,4371,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/DagnyT/hardnet/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,Some of the functions are documented,No evidence of sustained commit activity,"The project maintainers respond to issues, but mainly not resolved as there's no response from users",https://github.com/DagnyT/hardnet/blob/master/LICENSE is provided.,There is no evidence of any testing done on the project.,2025-04-14
danielegrattarola/spektral,Y,2384,1134,10445,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/danielegrattarola/spektral/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README at https://github.com/danielegrattarola/spektral/blob/master/spektral/datasets/citation.py,Checking https://github.com/danielegrattarola/spektral/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/danielegrattarola/spektral/issues/69, https://github.com/danielegrattarola/spektral/issues/68",https://github.com/danielegrattarola/spektral/blob/master/LICENSE is provided,There are many files related to testing.,2024-01-21
danielhanchen/hyperlearn,N,2290,264,3936,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/danielegrattarola/spektral/graphs/contributors only has 2 contributers,CI is not used on the project.,Most of the functions in the source code are not documented.,Checking https://github.com/danielhanchen/hyperlearn/pulse/monthly there has only been 1 commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/danielhanchen/hyperlearn/issues/20",https://github.com/danielhanchen/hyperlearn/blob/master/LICENSE is provided,There is no evidence of any testing done on the project.,2024-11-19
databricks/spark-deep-learning,Y,1996,138,286,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/databricks/spark-deep-learning/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained documentation at https://github.com/databricks/spark-deep-learning/blob/master/dev/run.py,There is no commit in the past month,"The project maintainers respond to issues, as evidenced by https://github.com/databricks/spark-deep-learning/issues/226",https://github.com/databricks/spark-deep-learning/blob/master/LICENSE is provided,There are many files related to testing.,2022-03-21
datamllab/rlcard,Y,3249,875,12848,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/datamllab/rlcard/graphs/contributors shows that there are multiple contributors.,CI is not used on the project.,There is a well maintained README at https://github.com/datamllab/rlcard/tree/master/docs,There is no commit in the past month,"The project maintainers respond to issues, as evidenced by https://github.com/datamllab/rlcard/issues/154 and https://github.com/datamllab/rlcard/issues/153",https://github.com/datamllab/rlcard/blob/master/LICENSE.md is provided,There are many files related to testing.,2024-06-26
data-science-on-aws/workshop,N,3409,3376,95889,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/data-science-on-aws/workshop/graphs/contributors only has 3 contributers,CI is not used on the project.,Most of the functions in the source code are not documented.,Checking https://github.com/data-science-on-aws/workshop/pulse/monthly there has been significant commit activity in the past month.,There aren't any open issues,"There is no license to be found, either in the form of a license file or written as comments in the source code files.",There is no evidence of any testing done on the project.,2024-07-31
ddbourgin/numpy-ml,Y,16147,348,16395,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/ddbourgin/numpy-ml/graphs/contributors shows that there are multiple contributors.,CI is not used on the project.,"There is a well maintained README at https://github.com/ddbourgin/numpy-ml/tree/master/numpy_ml, https://github.com/ddbourgin/numpy-ml/tree/master/numpy_ml/utils, https://github.com/ddbourgin/numpy-ml/tree/master/numpy_ml/trees",There is 1 commit in the past month,"The project maintainers respond to issues, as evidenced by https://github.com/ddbourgin/numpy-ml/issues/49",https://github.com/ddbourgin/numpy-ml/blob/master/LICENSE is provided,There are many files related to testing.,2022-01-08
deepchem/deepchem,Y,6227,10635,105916,The source code of the project exists as ad-hoc scripts.,https://github.com/deepchem/deepchem/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained documentation at https://github.com/deepchem/deepchem/tree/master/docs,Checking https://github.com/deepchem/deepchem/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/deepchem/deepchem/issues/1975",https://github.com/deepchem/deepchem/blob/master/LICENSE is provided,There are a few files related to testing.,2025-09-24
deepfakes/faceswap,Y,54523,1840,46036,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/deepchem/deepchem/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained documentation at https://github.com/deepfakes/faceswap/tree/master/docs,Checking https://github.com/deepfakes/faceswap/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/deepfakes/faceswap/issues/985",https://github.com/deepfakes/faceswap/blob/master/LICENSE is provided,There are many files related to testing.,2025-09-18
deepmedic/deepmedic,Y,1059,540,6072,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/deepmedic/deepmedic/graphs/contributors shows that there are multiple contributors.,CI is not used on the project.,There is a well maintained documentation at https://github.com/deepmedic/deepmedic/tree/master/documentation,Checking https://github.com/deepmedic/deepmedic/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/deepmedic/deepmedic/issues/177",https://github.com/deepmedic/deepmedic/blob/master/LICENSE.txt is provided,There are a few files related to testing.,2024-08-04
deepmind/dm-haiku,Y,3100,1024,20792,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/deepmind/dm-haiku/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained documentation at https://github.com/deepmind/dm-haiku/tree/master/docs and README at https://github.com/deepmind/dm-haiku/blob/master/haiku/experimental.py and https://github.com/deepmind/dm-haiku/blob/master/haiku/initializers.py,Checking https://github.com/deepmedic/deepmedic/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/deepmind/dm-haiku/issues/55",https://github.com/deepmind/dm-haiku/blob/master/LICENSE is provided,There are a few files related to testing.,2025-09-18
deepmind/open_spiel,Y,4753,4740,64877,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/deepmind/open_spiel/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained documentation at https://github.com/deepmind/open_spiel/tree/master/docs , https://github.com/deepmind/open_spiel/tree/master/swift and majority of the functions at https://github.com/deepmind/open_spiel/blob/master/open_spiel/scripts/install.sh",Checking https://github.com/deepmind/open_spiel/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/deepmind/open_spiel/issues/292 and https://github.com/deepmind/open_spiel/issues/291",https://github.com/deepmind/open_spiel/blob/master/LICENSE is provided,There are a few files related to testing.,2025-09-24
deepmind/sonnet,Y,9884,873,13196,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/deepmind/sonnet/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and documentation at https://github.com/deepmind/sonnet/tree/v2/docs,Checking https://github.com/deepmind/sonnet/pulse/monthly there has been 2 commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/deepmind/sonnet/issues/172",https://github.com/deepmind/sonnet/blob/v2/LICENSE is provided,There are a few files related to testing.,2025-08-04
deepmipt/DeepPavlov,Y,6934,2711,16907,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/deepmipt/DeepPavlov/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and majority of the function in https://github.com/deepmipt/DeepPavlov/blob/master/deeppavlov/evolve.py,Checking https://github.com/deepmipt/DeepPavlov/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/deepmipt/DeepPavlov/issues/1265",https://github.com/deepmipt/DeepPavlov/blob/master/LICENSE is provided,There are many files related to testing.,2024-11-26
deepset-ai/FARM,Y,1753,594,16491,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/deepset-ai/FARM/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and majority of the function in https://github.com/deepset-ai/FARM/blob/master/farm/train.py,Checking https://github.com/deepset-ai/FARM/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/deepset-ai/FARM/issues/404 and https://github.com/deepset-ai/FARM/issues/385",https://github.com/deepset-ai/FARM/blob/master/LICENSE is provided,There are many files related to testing.,2022-08-31
deezer/spleeter,Y,27410,540,2291,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/deezer/spleeter/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and majority of the function in https://github.com/deezer/spleeter/blob/master/spleeter/__main__.py,Checking https://github.com/deezer/spleeter/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/deezer/spleeter/issues/418 and https://github.com/deezer/spleeter/issues/415",https://github.com/deezer/spleeter/blob/master/LICENSE is provided,There are many files related to testing.,2025-04-02
determined-ai/determined,Y,3190,8394,93990,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/determined-ai/determined/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and documentation at https://docs.determined.ai/latest/,Checking https://github.com/determined-ai/determined/pulse/monthly there has been significant commit activity in the past month.,There aren't any open issues,https://github.com/determined-ai/determined/blob/master/LICENSE is provided,There are many files related to testing.,2025-03-20
digantamisra98/Mish,N,1303,2957,1042,The source code of the project exists as ad-hoc scripts.,https://github.com/determined-ai/determined/graphs/contributors shows that there are only 3 contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and majority of the function in https://github.com/digantamisra98/Mish/blob/master/Mish/Torch/functional.py,Checking https://github.com/digantamisra98/Mish/pulse/monthly there has been minor commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/digantamisra98/Mish/issues/34",https://github.com/digantamisra98/Mish/blob/master/LICENSE is provided,There is no evidence of any testing done on the project.,2025-09-27
DigitalSlideArchive/HistomicsTK,Y,446,3031,11307,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/DigitalSlideArchive/HistomicsTK/graphs/contributors shows that there are multiple contributors,The project uses various CI services,There is a well-maintained documentation,No evidence of sustained commit activity for May and June with 2 commits each,"The project maintainers respond to issues, as evidenced by https://github.com/DigitalSlideArchive/HistomicsTK/issues/869 and https://github.com/DigitalSlideArchive/HistomicsTK/issues/867.",https://github.com/DigitalSlideArchive/HistomicsTK/blob/master/LICENSE is provided.,There are many files related to testing.,2025-09-08
DLR-RM/stable-baselines3,Y,11626,907,14536,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/DLR-RM/stable-baselines3/graphs/contributors shows that there are multiple contributors,The project uses Gitlab CI,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/DLR-RM/stable-baselines3/issues/37 and https://github.com/DLR-RM/stable-baselines3/issues/76.",https://github.com/DLR-RM/stable-baselines3/blob/master/LICENSE is provided.,There are many files related to testing.,2025-09-26
dmlc/dgl,Y,14080,4417,197271,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/dmlc/dgl/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and majority of the function in https://github.com/dmlc/dgl/blob/master/python/dgl/convert.py and https://github.com/dmlc/dgl/blob/master/python/dgl/view.py,Checking https://github.com/dmlc/dgl/pulse/monthly there has been minor commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/dmlc/dgl/issues/1743 and https://github.com/dmlc/dgl/issues/1727",https://github.com/dmlc/dgl/blob/master/LICENSE is provided,There are many files related to testing.,2025-07-31
DongjunLee/kino-bot,Y,154,569,7610,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,There are no contributors to the project other than the author.,The project uses Travis CI,There is a well-maintained documentation,No evidence of sustained commit activity for May and June with 2 commits each,Issues mostly raised by author and he do answered others' questions,https://github.com/DongjunLee/quantified-self/blob/master/LICENSE.md is provided.,There are many files related to testing.,2020-11-08
drscotthawley/panotti,N,268,310,2180,The source code of the project exists as ad-hoc scripts.,https://github.com/dmlc/dgl/graphs/contributors shows that there are only 2 contributors.,CI is not used on the project.,There is a well maintained README and majority of the function in https://github.com/drscotthawley/panotti/blob/master/panotti/mixup_generator.py and https://github.com/drscotthawley/panotti/blob/master/panotti/models.py,Checking https://github.com/drscotthawley/panotti/pulse/monthly there has been only 2 commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/drscotthawley/panotti/issues/39",https://github.com/drscotthawley/panotti/blob/master/LICENSE is provided,There is no evidence of any testing done on the project.,2021-07-29
DSE-MSU/DeepRobust,Y,1059,858,14598,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/DSE-MSU/DeepRobust/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Little evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/DSE-MSU/DeepRobust/issues/15 and https://github.com/DSE-MSU/DeepRobust/issues/13.",https://github.com/DSE-MSU/DeepRobust/blob/master/LICENSE is provided.,There are many files related to testing.,2025-06-26
dsgiitr/d2l-pytorch,N,4325,188,1116,The source code of the project exists as ad-hoc scripts.,https://github.com/dsgiitr/d2l-pytorch/graphs/contributors shows that there are only 2 contributors.,CI is not used on the project.,There is a well maintained README,Checking https://github.com/dsgiitr/d2l-pytorch/pulse/monthly there has been only 1 commit activity in the past month.,"The project maintainers hardly respond to issues, as evidenced by https://github.com/dsgiitr/d2l-pytorch/issues",https://github.com/dsgiitr/d2l-pytorch/blob/master/LICENSE is provided,There is no evidence of any testing done on the project.,2021-01-09
dwadden/dygiepp,N,587,712,7411,The source code of the project exists as ad-hoc scripts.,https://github.com/dwadden/dygiepp/graphs/contributors shows that there are only 2 contributors.,CI is not used on the project.,There is a well maintained README and majority of the function in https://github.com/dwadden/dygiepp/blob/master/dygie/commands/predict_dygie.py,Checking https://github.com/dwadden/dygiepp/pulse/monthly there has been only 4 commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/dwadden/dygiepp/issues/13","There is no license to be found, either in the form of a license file or written as comments in the source code files.",There are many files related to testing.,2024-06-18
EdinburghNLP/nematus,Y,802,892,7250,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/EdinburghNLP/nematus/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,No evidence of sustained commit activity for May and June with 2 commits each,"The project maintainers respond to issues, as evidenced by https://github.com/EdinburghNLP/nematus/issues/111 and https://github.com/EdinburghNLP/nematus/issues/97 however issues are quite old (year 2019)",https://github.com/EdinburghNLP/nematus/blob/master/LICENSE is provided.,There are many files related to testing.,2022-12-09
eladhoffer/convNet.pytorch,N,348,161,4784,The source code of the project exists as ad-hoc scripts.,https://github.com/eladhoffer/convNet.pytorch/graphs/contributors shows that there are only 2 contributors.,CI is not used on the project.,There is a well maintained README and majority of the function in https://github.com/eladhoffer/convNet.pytorch/blob/master/autoaugment.py,Checking https://github.com/eladhoffer/convNet.pytorch/pulse/monthly there has been only 1 commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/eladhoffer/convNet.pytorch/issues/18",https://github.com/eladhoffer/convNet.pytorch/blob/master/LICENSE is provided,There is no evidence of any testing done on the project.,2021-02-04
eleurent/rl-agents,Y,683,787,6640,The source code of the project exists as ad-hoc scripts.,There are no contributors to the project other than the author.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and majority of the function in https://github.com/eleurent/rl-agents/blob/master/scripts/analyze.py and https://github.com/eleurent/rl-agents/blob/master/scripts/experiments.py,Checking https://github.com/eleurent/rl-agents/pulse/monthly there has been only 4 commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/eleurent/rl-agents/issues/38",https://github.com/eleurent/rl-agents/blob/master/LICENSE is provided,There are many files related to testing.,2024-01-13
elifesciences/sciencebeam,Y,293,225,26985,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/elifesciences/sciencebeam/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and documentation at https://github.com/elifesciences/sciencebeam/tree/develop/doc,Checking https://github.com/elifesciences/sciencebeam/pulse/monthly there has been only 6 commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/elifesciences/sciencebeam/issues/71",https://github.com/elifesciences/sciencebeam/blob/develop/LICENSE is provided,There are many files related to testing.,2022-03-29
EpistasisLab/tpot,Y,9987,551,8506,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/EpistasisLab/tpot/graphs/contributors shows that there are multiple contributors,The project uses Travis CI and appveyor CI,There is a well-maintained documentation,Little evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/EpistasisLab/tpot/issues/777 and https://github.com/EpistasisLab/tpot/issues/1075",https://github.com/EpistasisLab/tpot/blob/master/LICENSE is provided.,There are many files related to testing.,2025-09-11
ethen8181/machine-learning,Y,3415,520,2780,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/ethen8181/machine-learning/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README,Checking https://github.com/ethen8181/machine-learning/pulse/monthly there has been 1 commit activity in the past month.,There aren't any open issues,https://github.com/ethen8181/machine-learning/blob/master/LICENSE is provided,There are many files related to testing.,2025-06-27
eth-sri/eran,Y,341,495,6053,The source code of the project exists as ad-hoc scripts.,https://github.com/eth-sri/eran/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and majority of the function in https://github.com/eth-sri/eran/blob/master/tf_verify/deepzono_nodes.py,Checking https://github.com/eth-sri/eran/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/eth-sri/eran/issues/20",https://github.com/eth-sri/eran/blob/master/LICENSE is provided,There are few files related to testing.,2022-05-30
evilsocket/pwnagotchi,Y,8621,1744,12470,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/evilsocket/pwnagotchi/graphs/contributors shows that there are multiple contributors.,CI is not used on the project.,There is a well maintained README,Checking https://github.com/evilsocket/pwnagotchi/pulse/monthly there has been 2 commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/evilsocket/pwnagotchi/issues/892 and https://github.com/evilsocket/pwnagotchi/issues/859",https://github.com/evilsocket/pwnagotchi/blob/master/LICENSE.md is provided,There is no evidence of any testing done on the project.,2025-08-23
explosion/prodigy-recipes,Y,502,210,3842,The source code of the project exists as ad-hoc scripts.,https://github.com/explosion/prodigy-recipes/graphs/contributors shows that there are multiple contributors.,CI is not used on the project.,There is a well maintained README and majority of the function in https://github.com/explosion/prodigy-recipes/blob/master/terms/terms_teach.py,Checking https://github.com/explosion/prodigy-recipes/pulse/monthly there has been 1 commit activity in the past month.,There aren't any open issues,https://github.com/explosion/prodigy-recipes/blob/master/LICENSE is provided,There is no evidence of any testing done on the project.,2024-08-04
