GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community,Continuous Integration,Documentation,History,Issues,License,Unit Testing,Last Commit Date
microsoft/hummingbird,Y,3481,481,14949,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/microsoft/hummingbird/graphs/contributors shows that there are multiple contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and the majority of the functions in https://github.com/microsoft/hummingbird/blob/master/hummingbird/ml/convert.py and https://github.com/microsoft/hummingbird/blob/master/hummingbird/ml/operator_converters/skl_decision_tree.py and https://github.com/microsoft/hummingbird/blob/master/hummingbird/ml/ir_converters/topology.py have appropriate docstrings",https://github.com/microsoft/hummingbird/graphs/commit-activity shows that there have been few activities in the past few months with some activities in the last month.,"The project maintainers respond to issues, as evidenced by https://github.com/microsoft/hummingbird/issues/184 and https://github.com/microsoft/hummingbird/issues/181",https://github.com/microsoft/hummingbird/blob/master/LICENSE,There are many files related to testing,2025-07-17
microsoft/MMdnn,Y,5813,1085,27846,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/microsoft/MMdnn/graphs/contributors shows there are multiple contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and the some of the functions in https://github.com/microsoft/MMdnn/blob/master/mmdnn/conversion/keras/extra_layers.py and https://github.com/microsoft/MMdnn/blob/master/mmdnn/conversion/paddle/paddle_parser.py have appropriate docstrings",https://github.com/microsoft/MMdnn/graphs/commit-activity shows there have been activities in the past few months,"The project maintainers respond to issues, as evidenced by https://github.com/microsoft/MMdnn/issues/856 and https://github.com/microsoft/MMdnn/issues/853",https://github.com/microsoft/MMdnn/blob/master/LICENSE,There are many files related to testing,2025-08-07
microsoft/nni,Y,14277,3012,88496,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/microsoft/nni/graphs/contributors show that there are multiple contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and the some of the functions in https://github.com/microsoft/nni/blob/master/src/nni_manager/training_service/remote_machine/gpuScheduler.ts and https://github.com/microsoft/nni/blob/master/src/nni_manager/training_service/remote_machine/remoteMachineData.ts have appropriate docstrings",https://github.com/microsoft/nni/graphs/commit-activity show that there have been significant amount of activities in the past few months consistently,"The project maintainers respond to issues, as evidenced by https://github.com/microsoft/nni/issues/2624 and https://github.com/microsoft/nni/issues/2613",https://github.com/microsoft/nni/blob/master/LICENSE,There are many files related to testing,2023-10-26
microsoft/tf2-gnn,Y,375,223,4058,The source code of this project has been organised into different modules in a way that shows the relationship between different files with ad hoc scripts,https://github.com/microsoft/tf2-gnn/graphs/contributors show that there are 3 contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and the majority of the functions in https://github.com/microsoft/tf2-gnn/blob/master/tf2_gnn/layers/gnn.py and https://github.com/microsoft/tf2-gnn/blob/master/tf2_gnn/models/graph_task_model.py and https://github.com/microsoft/tf2-gnn/blob/master/tf2_gnn/layers/nodes_to_graph_representation.py have appropriate docstrings",https://github.com/microsoft/tf2-gnn/graphs/commit-activity show that there have been significant amount of activities in the past few months consistently,The author of the project does not reply to issues or close them.,https://github.com/microsoft/tf2-gnn/blob/master/LICENSE,There are many files related to testing,2023-07-13
microsoft/Windows-Machine-Learning,Y,1097,1731,562,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/microsoft/Windows-Machine-Learning/graphs/contributors shows there are multiple contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README but most of the functions in the source code are not documented.,https://github.com/microsoft/Windows-Machine-Learning/graphs/commit-activity shows there have been activities in the past few months,"The project maintainers respond to issues, as evidenced by https://github.com/microsoft/MMdnn/issues/856 and https://github.com/microsoft/MMdnn/issues/853",https://github.com/microsoft/Windows-Machine-Learning/blob/master/LICENSE,There are many files related to testing,2025-08-07
milvus-io/bootcamp,Y,2252,15,4440,The source code of this project has been organised into different modules in a way that shows the relationship between different files with ad hoc scripts,https://github.com/milvus-io/bootcamp/graphs/contributors shows that there are multiple contributors,CI is not used on the project,There is a well-maintained README but most of the functions in the source code are not documented.,https://github.com/milvus-io/bootcamp/graphs/commit-activity show that there have been activities in the past few months,"The project maintainers respond to issues, as evidenced by https://github.com/milvus-io/bootcamp/issues/245 and https://github.com/milvus-io/bootcamp/issues/229",https://github.com/milvus-io/bootcamp/blob/master/LICENSE,there is no evidence of any testing done on the project.,2025-08-25
mindsdb/mindsdb,Y,36195,19670,134139,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/mindsdb/mindsdb/graphs/contributors shows that there are multiple contributors but mainly 2,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README but most of the functions in the source code are not documented.,https://github.com/mindsdb/mindsdb/graphs/commit-activity shows that there have been some activities in the past months.,"The project maintainers respond to issues, as evidenced by https://github.com/mindsdb/mindsdb/issues/560 and https://github.com/mindsdb/mindsdb/issues/550",https://github.com/mindsdb/mindsdb/blob/stable/LICENSE,There are many files related to testing,2025-09-25
Mini-Conf/Mini-Conf,Y,539,141,522,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/Mini-Conf/Mini-Conf/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Little evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/Mini-Conf/Mini-Conf/issues/61 and https://github.com/Mini-Conf/Mini-Conf/issues/59",https://github.com/Mini-Conf/Mini-Conf/blob/master/LICENSE is provided.,There is no evidence of any testing done on the project.,2023-07-19
MIPT-Oulu/solt,Y,265,443,4768,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/MIPT-Oulu/solt/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,No evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/MIPT-Oulu/solt/issues/73 and https://github.com/MIPT-Oulu/solt/issues/59 but not often",https://github.com/MIPT-Oulu/solt/blob/master/LICENSE is provided.,There are files related to testing.,2025-06-01
MisaOgura/flashtorch,Y,742,127,848,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/MisaOgura/flashtorch/graphs/contributors shows that there are 2 contributors but 2nd only contributed 1 commits,The project uses Travis CI,There is a well-maintained documentation,No evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/MisaOgura/flashtorch/issues/23 and https://github.com/MisaOgura/flashtorch/issues/21",https://github.com/MisaOgura/flashtorch/blob/master/LICENSE is provided.,There are many files related to testing.,2023-09-21
