repo_name,loc,size_category,total_smells,smell_density,hyperparameters_not_explicitly_set,gradients_not_cleared_before_backward_propagation,columns_and_datatype_not_explicitly_set,in_place_apis_misused,Chain_Indexing,matrix_multiplication_api_misused,pytorch_call_method_misused,dataframe_conversion_api_misused,nan_equivalence_comparison_misused,unnecessary_iteration,merge_api_parameter_not_explicitly_set,memory_not_freed,empty_column_misinitialization,Broadcasting_Feature_Not_Used,deterministic_algorithm_option_not_used,tensor_array_not_used,domain
deepmind/dm-haiku,20792,medium,1.0,0.04809542131589072,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
deepmind/sonnet,13196,medium,5.0,0.37890269778720825,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
deepmipt/DeepPavlov,16907,medium,3.0,0.17744129650440646,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Natural Language Processing
DigitalSlideArchive/HistomicsTK,11307,medium,60.0,5.3064473335102145,0.0,0.0,25.0,3.0,4.0,22.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Computer Vision
DLR-RM/stable-baselines3,14536,medium,17.0,1.1695101816180518,0.0,9.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Reinforcement Learning
DSE-MSU/DeepRobust,14598,medium,78.0,5.343197698314837,2.0,17.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
evilsocket/pwnagotchi,12470,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Reinforcement Learning
facebookresearch/CrypTen,21718,medium,94.0,4.3282070172207385,1.0,70.0,17.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MLOps / Deployment
fastai/fastai,14973,medium,1.0,0.06678688305616777,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
f-dangel/backpack,16500,medium,1.0,0.06060606060606061,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
fepegar/torchio,14026,medium,9.0,0.6416654783972623,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Computer Vision
flatironinstitute/CaImAn,24964,medium,43.0,1.722480371735299,0.0,0.0,0.0,2.0,2.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Computer Vision
google/automl,22342,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Computer Vision
google/qkeras,23397,medium,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
google-research/meta-dataset,15178,medium,1.0,0.06588483331137172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
google-research/tensor2robot,16147,medium,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
GRAAL-Research/poutyne,12874,medium,4.0,0.31070374398011497,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
IBM/AIF360,13835,medium,236.0,17.058185760751716,8.0,0.0,141.0,33.0,7.0,5.0,0.0,41.0,0.0,9.0,0.0,0.0,3.0,0.0,0.0,0.0,Computer Vision
IBM/AIX360,17132,medium,257.0,15.001167406023814,16.0,0.0,140.0,45.0,32.0,15.0,4.0,19.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Domain-Specific Applications
interpretml/interpret-community,10499,medium,62.0,5.905324316601581,14.0,1.0,35.0,0.0,17.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Reinforcement Learning
jantic/DeOldify,12886,medium,5.0,0.3880180040353873,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Computer Vision
keras-team/keras-tuner,10943,medium,2.0,0.18276523805172257,18.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
kermitt2/delft,11351,medium,6.0,0.5285877896220597,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Natural Language Processing
KevinMusgrave/pytorch-metric-learning,15569,medium,77.0,4.945725480120752,0.0,75.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Computer Vision
koaning/scikit-lego,10542,medium,106.0,10.055018023145513,87.0,0.0,67.0,28.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Data Science / Traditional ML
kubeflow/examples,11038,medium,36.0,3.2614604094944735,1.0,0.0,22.0,9.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,MLOps / Deployment
kubeflow/katib,15845,medium,3.0,0.18933417481855475,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MLOps / Deployment
l3p-cv/lost,15154,medium,30.0,1.9796753332453478,0.0,0.0,12.0,15.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Computer Vision
lab-ml/labml,16420,medium,17.0,1.0353227771010962,1.0,9.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
learnables/cherry,11180,medium,4.0,0.35778175313059035,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Reinforcement Learning
limbo018/DREAMPlace,14304,medium,154.0,10.766219239373601,0.0,8.0,0.0,0.0,0.0,0.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
MIC-DKFZ/nnUNet,14017,medium,5.0,0.35670970963829635,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Computer Vision
microsoft/hummingbird,14949,medium,46.0,3.0771289049434745,30.0,0.0,35.0,1.0,0.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
mittagessen/kraken,13974,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Computer Vision
