repo_name,loc,size_category,total_smells,smell_density,hyperparameters_not_explicitly_set,gradients_not_cleared_before_backward_propagation,columns_and_datatype_not_explicitly_set,in_place_apis_misused,Chain_Indexing,matrix_multiplication_api_misused,pytorch_call_method_misused,dataframe_conversion_api_misused,nan_equivalence_comparison_misused,unnecessary_iteration,merge_api_parameter_not_explicitly_set,memory_not_freed,empty_column_misinitialization,Broadcasting_Feature_Not_Used,deterministic_algorithm_option_not_used,tensor_array_not_used,total_smells_filtered,Commits,Created Date,Last Commit Date,age_days,created_dt,last_commit_dt,duration_months,commits_per_month,activity_level
google-research/text-to-text-transfer-transformer,8552,small,10,1.1693171188026192,0.0,1.0,5.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,601,2019-10-17T21:45:14Z,2025-04-28,2239,2019-10-17 21:45:14+00:00,2025-04-28 00:00:00+00:00,73.5545335085414,8.170808396605628,Low Activity
graphbrain/graphbrain,10180,small,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3218,2016-02-15T11:25:11Z,2025-08-06,3579,2016-02-15 11:25:11+00:00,2025-08-06 00:00:00+00:00,117.57555847568987,27.36963397597094,High Activity
greentfrapp/lucent,2009,small,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191,2020-05-09T18:07:01Z,2025-03-21,2034,2020-05-09 18:07:01+00:00,2025-03-21 00:00:00+00:00,66.81997371879106,2.8584267453294,Low Activity
guillaume-be/rust-bert,176,small,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1120,2020-01-25T09:40:07Z,2025-05-26,2139,2020-01-25 09:40:07+00:00,2025-05-26 00:00:00+00:00,70.26938239159001,15.938662926601216,High Activity
hastagAB/Awesome-Python-Scripts,7569,small,4,0.5284713964856652,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,471,2018-10-02T18:06:52Z,2024-06-21,2619,2018-10-02 18:06:52+00:00,2024-06-21 00:00:00+00:00,86.03810775295663,5.474318442153494,Low Activity
henrysky/astroNN,10096,small,2,0.09904912836767037,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2181,2017-10-14T01:40:28Z,2025-09-09,2973,2017-10-14 01:40:28+00:00,2025-09-09 00:00:00+00:00,97.66754270696451,22.33085771947528,High Activity
idealo/image-super-resolution,2788,small,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151,2018-11-26T13:41:13Z,2024-12-18,2564,2018-11-26 13:41:13+00:00,2024-12-18 00:00:00+00:00,84.23127463863338,1.7926833073322932,Low Activity
interpretml/DiCE,7492,small,81,10.678056593699946,1.0,4.0,49.0,4.0,17.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,791,2019-05-02T09:51:02Z,2025-07-13,2407,2019-05-02 09:51:02+00:00,2025-07-13 00:00:00+00:00,79.0735873850197,10.003340257582053,Low Activity
interpretml/interpret-text,6861,small,26,3.060778312199388,5.0,1.0,6.0,1.0,2.0,3.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,152,2019-09-04T16:39:48Z,2024-02-05,2282,2019-09-04 16:39:48+00:00,2024-02-05 00:00:00+00:00,74.96714848883049,2.0275547765118316,Low Activity
jaakkopasanen/AutoEq,4958,small,10,2.016942315449778,0.0,0.0,3.0,4.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,896,2018-03-04T16:37:35Z,2025-07-20,2831,2018-03-04 16:37:35+00:00,2025-07-20 00:00:00+00:00,93.00262812089356,9.63413634758036,Low Activity
jeongyoonlee/Kaggler,2665,small,24,9.00562851782364,0.0,0.0,14.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,254,2015-01-28T20:51:13Z,2024-04-25,3962,2015-01-28 20:51:13+00:00,2024-04-25 00:00:00+00:00,130.15768725361366,1.9514790509843514,Low Activity
jessevig/bertviz,7099,small,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308,2018-12-16T16:50:42Z,2025-06-01,2544,2018-12-16 16:50:42+00:00,2025-06-01 00:00:00+00:00,83.5742444152431,3.6853459119496854,Low Activity
joeynmt/joeynmt,9765,small,10,1.0240655401945724,0.0,0.0,1.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,904,2018-10-15T15:00:57Z,2024-01-25,2606,2018-10-15 15:00:57+00:00,2024-01-25 00:00:00+00:00,85.61103810775295,10.55938603223331,Low Activity
junyanz/pytorch-CycleGAN-and-pix2pix,2037,small,4,1.9636720667648504,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,535,2017-04-18T10:33:05Z,2025-08-06,3151,2017-04-18 10:33:05+00:00,2025-08-06 00:00:00+00:00,103.51511169513797,5.16832751507458,Low Activity
kakao/buffalo,6686,small,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580,2019-08-27T14:56:48Z,2025-05-16,2290,2019-08-27 14:56:48+00:00,2025-05-16 00:00:00+00:00,75.22996057818659,7.709694323144105,Low Activity
kaushaltrivedi/fast-bert,9128,small,36,3.943908851884312,0.0,4.0,22.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,346,2019-04-18T22:01:20Z,2024-08-19,2421,2019-04-18 22:01:20+00:00,2024-08-19 00:00:00+00:00,79.5335085413929,4.350367616687319,Low Activity
keras-team/autokeras,7356,small,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1394,2017-11-19T23:18:20Z,2024-12-16,2936,2017-11-19 23:18:20+00:00,2024-12-16 00:00:00+00:00,96.4520367936925,14.452779291553135,Low Activity
kermitt2/grobid,293,small,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3832,2012-09-13T15:48:54Z,2025-09-18,4829,2012-09-13 15:48:54+00:00,2025-09-18 00:00:00+00:00,158.63994743758212,24.155328225305446,High Activity
kipoi/kipoi,9782,small,74,7.462686567164179,1.0,0.0,34.0,4.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,1333,2017-07-06T19:59:02Z,2024-04-11,3072,2017-07-06 19:59:02+00:00,2024-04-11 00:00:00+00:00,100.91984231274638,13.208502604166668,Low Activity
kubeflow-kale/kale,6510,small,5,0.7680491551459294,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,649,2019-01-24T17:58:44Z,2025-09-12,2505,2019-01-24 17:58:44+00:00,2025-09-12 00:00:00+00:00,82.29303547963205,7.886451097804392,Low Activity
lsds/KungFu,7566,small,4,0.13217023526301877,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,384,2018-12-29T07:21:05Z,2024-02-23,2531,2018-12-29 07:21:05+00:00,2024-02-23 00:00:00+00:00,83.14717477003941,4.618316870802055,Low Activity
magenta/ddsp,9882,small,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,472,2020-01-14T18:38:27Z,2024-09-23,2150,2020-01-14 18:38:27+00:00,2024-09-23 00:00:00+00:00,70.63074901445466,6.682641860465116,Low Activity
MAIF/melusine,7613,small,50,6.567713122290818,0.0,0.0,36.0,0.0,12.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,806,2019-02-18T14:11:41Z,2025-01-23,2480,2019-02-18 14:11:41+00:00,2025-01-23 00:00:00+00:00,81.47174770039422,9.893,Low Activity
MarkUsProject/Markus,1705,small,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16658,2010-09-26T16:18:08Z,2025-09-27,5547,2010-09-26 16:18:08+00:00,2025-09-27 00:00:00+00:00,182.22733245729302,91.41329006670273,High Activity
