repo_name,loc,size_category,total_smells,smell_density,hyperparameters_not_explicitly_set,gradients_not_cleared_before_backward_propagation,columns_and_datatype_not_explicitly_set,in_place_apis_misused,Chain_Indexing,matrix_multiplication_api_misused,pytorch_call_method_misused,dataframe_conversion_api_misused,nan_equivalence_comparison_misused,unnecessary_iteration,merge_api_parameter_not_explicitly_set,memory_not_freed,empty_column_misinitialization,Broadcasting_Feature_Not_Used,deterministic_algorithm_option_not_used,tensor_array_not_used,total_smells_filtered,CI_Status
deepmedic/deepmedic,6072,small,16,2.635046113306983,0.0,0.0,3.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,No
deezer/spleeter,2291,small,5,2.182453077258839,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Yes
dwadden/dygiepp,7411,small,13,1.7541492376197545,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,No
eleurent/rl-agents,6640,small,17,2.560240963855422,0.0,0.0,6.0,8.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,Yes
EpistasisLab/tpot,8506,small,41,2.468845520808841,20.0,2.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,Yes
ethen8181/machine-learning,2780,small,23,8.273381294964029,0.0,0.0,11.0,3.0,2.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,No
explosion/prodigy-recipes,3842,small,1,0.2602811035918792,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,No
explosion/spacy-transformers,2897,small,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes
FunctionLab/selene,6352,small,13,2.0465994962216625,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,Yes
geoopt/geoopt,8404,small,4,0.47596382674916704,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,Yes
geyang/ml_logger,4472,small,13,2.9069767441860463,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,Yes
gjy3035/C-3-Framework,4303,small,19,4.415524052986289,0.0,3.0,7.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,No
google/fhir,80,small,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
google/ml-metadata,3619,small,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes
GoogleCloudPlatform/healthcare,7788,small,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
GoogleCloudPlatform/ml-on-gcp,9308,small,19,1.6115169746454663,4.0,0.0,8.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,No
google-research/text-to-text-transfer-transformer,8552,small,10,1.1693171188026192,0.0,1.0,5.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,Yes
graphbrain/graphbrain,10180,small,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
greentfrapp/lucent,2009,small,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes
guillaume-be/rust-bert,176,small,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes
hastagAB/Awesome-Python-Scripts,7569,small,4,0.5284713964856652,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,No
henrysky/astroNN,10096,small,2,0.09904912836767037,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Yes
idealo/image-super-resolution,2788,small,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes
interpretml/DiCE,7492,small,81,10.678056593699946,1.0,4.0,49.0,4.0,17.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,Yes
interpretml/interpret-text,6861,small,26,3.060778312199388,5.0,1.0,6.0,1.0,2.0,3.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,Yes
jaakkopasanen/AutoEq,4958,small,10,2.016942315449778,0.0,0.0,3.0,4.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,No
jeongyoonlee/Kaggler,2665,small,24,9.00562851782364,0.0,0.0,14.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,Yes
jessevig/bertviz,7099,small,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
joeynmt/joeynmt,9765,small,10,1.0240655401945724,0.0,0.0,1.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,Yes
junyanz/pytorch-CycleGAN-and-pix2pix,2037,small,4,1.9636720667648504,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,No
kakao/buffalo,6686,small,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes
kaushaltrivedi/fast-bert,9128,small,36,3.943908851884312,0.0,4.0,22.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,Yes
keras-team/autokeras,7356,small,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes
kermitt2/grobid,293,small,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes
kipoi/kipoi,9782,small,74,7.462686567164179,1.0,0.0,34.0,4.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,Yes
kubeflow-kale/kale,6510,small,5,0.7680491551459294,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Yes
lsds/KungFu,7566,small,4,0.13217023526301877,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Yes
magenta/ddsp,9882,small,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes
MAIF/melusine,7613,small,50,6.567713122290818,0.0,0.0,36.0,0.0,12.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,Yes
MarkUsProject/Markus,1705,small,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes
masa-su/pixyz,5683,small,14,2.4634875945803274,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,Yes
michaelhush/M-LOOP,4607,small,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes
microsoft/Windows-Machine-Learning,562,small,4,7.117437722419928,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,Yes
MIPT-Oulu/solt,4768,small,4,0.8389261744966443,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,Yes
MITK/MITK,55,small,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
mlmed/torchxrayvision,6002,small,25,4.1652782405864714,0.0,2.0,19.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,Yes
mozilla/DeepSpeech,8842,small,21,2.375028274146121,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,Yes
NLeSC/mcfly,1749,small,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes
philipperemy/keract,1080,small,2,0.9259259259259258,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Yes
philipperemy/keras-tcn,1306,small,2,0.7656967840735068,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Yes
pytorch/builder,685,small,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes
pytorch/examples,7428,small,21,2.2886375875067313,4.0,12.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,Yes
robertness/causalML,2330,small,19,8.15450643776824,0.0,0.0,6.0,1.0,7.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,No
RussTedrake/underactuated,5955,small,5,0.8396305625524769,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Yes
rusty1s/pytorch_scatter,1450,small,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes
SeldonIO/seldon-core,3289,small,3,0.9121313469139556,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,Yes
sigopt/sigopt-examples,5255,small,1,0.19029495718363465,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Yes
sisl/NeuralVerification.jl,61,small,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes
snipsco/tract,1472,small,6,4.076086956521739,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,Yes
snorkel-team/snorkel,7633,small,55,7.205554827721735,0.0,3.0,42.0,4.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,Yes
stephenhky/PyShortTextCategorization,2590,small,12,1.1583011583011584,9.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,Yes
tensorflow/fairness-indicators,1520,small,5,3.289473684210526,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Yes
tensorflow/serving,2292,small,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes
thunlp/OpenNRE,3137,small,9,2.8689831048772714,0.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,No
Tiiiger/QPyTorch,3868,small,9,2.326783867631851,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,No
timesler/facenet-pytorch,1467,small,1,0.6816632583503749,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Yes
tslearn-team/tslearn,10150,small,18,1.6748768472906403,1.0,1.0,1.0,2.0,4.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,Yes
wandb/examples,7128,small,11,0.5611672278338945,7.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,Yes
wikipedia2vec/wikipedia2vec,4481,small,6,1.3389868332961392,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,Yes
zalandoresearch/pytorch-ts,9932,small,10,1.0068465565847764,0.0,0.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,Yes
zeusees/HyperLPR,1356,small,1,0.7374631268436578,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,No
zhanghang1989/PyTorch-Encoding,6905,small,4,0.5792903692976104,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,Yes
amaiya/ktrain,15566,medium,22,1.0921238596942053,5.0,0.0,9.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,Yes
analyticalmindsltd/smote_variants,21361,medium,59,2.715228687795515,1.0,0.0,12.0,17.0,12.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,Yes
apache/submarine,13139,medium,4,0.22832787883400565,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,Yes
autorope/donkeycar,22292,medium,21,0.9420419881571863,0.0,0.0,12.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,Yes
BindsNET/bindsnet,14028,medium,8,0.570287995437696,0.0,0.0,3.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,Yes
BloodAxe/pytorch-toolbelt,12133,medium,5,0.4120992334954257,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Yes
brainiak/brainiak,17865,medium,98,5.261684858662189,4.0,0.0,3.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,Yes
Calamari-OCR/calamari,11088,medium,2,0.18037518037518038,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Yes
cornellius-gp/gpytorch,24163,medium,32,1.3243388652071348,0.0,5.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,Yes
CornellNLP/Cornell-Conversational-Analysis-Toolkit,16129,medium,47,2.9140058280116556,0.0,0.0,29.0,9.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,Yes
cornell-zhang/heterocl,20269,medium,3,0.14800927524791554,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,Yes
cpnota/autonomous-learning-library,10618,medium,2,0.1883593897155773,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Yes
danielegrattarola/spektral,10445,medium,4,0.19147917663954045,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Yes
datamllab/rlcard,12848,medium,3,0.1556662515566625,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Yes
deepmind/dm-haiku,20792,medium,1,0.04809542131589072,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Yes
deepmind/sonnet,13196,medium,7,0.37890269778720825,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Yes
deepmipt/DeepPavlov,16907,medium,3,0.17744129650440646,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,Yes
DigitalSlideArchive/HistomicsTK,11307,medium,60,5.3064473335102145,0.0,0.0,25.0,3.0,4.0,22.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,Yes
DLR-RM/stable-baselines3,14536,medium,17,1.1695101816180518,0.0,9.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,Yes
DSE-MSU/DeepRobust,14598,medium,80,5.343197698314837,2.0,17.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,No
evilsocket/pwnagotchi,12470,medium,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes
facebookresearch/CrypTen,21718,medium,95,4.3282070172207385,1.0,70.0,17.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,No
fastai/fastai,14973,medium,1,0.06678688305616777,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Yes
f-dangel/backpack,16500,medium,2,0.06060606060606061,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Yes
fepegar/torchio,14026,medium,9,0.6416654783972623,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,Yes
flatironinstitute/CaImAn,24964,medium,43,1.722480371735299,0.0,0.0,0.0,2.0,2.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,Yes
google/automl,22342,medium,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes
google/qkeras,23397,medium,5,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes
google-research/meta-dataset,15178,medium,1,0.06588483331137172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,No
google-research/tensor2robot,16147,medium,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
GRAAL-Research/poutyne,12874,medium,4,0.31070374398011497,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,Yes
IBM/AIF360,13835,medium,247,17.058185760751716,8.0,0.0,141.0,33.0,7.0,5.0,0.0,41.0,0.0,9.0,0.0,0.0,3.0,0.0,0.0,0.0,236.0,Yes
IBM/AIX360,17132,medium,273,15.001167406023814,16.0,0.0,140.0,45.0,32.0,15.0,4.0,19.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,257.0,Yes
interpretml/interpret-community,10499,medium,76,5.905324316601581,14.0,1.0,35.0,0.0,17.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,Yes
jantic/DeOldify,12886,medium,5,0.3880180040353873,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Yes
keras-team/keras-tuner,10943,medium,20,0.18276523805172257,18.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Yes
kermitt2/delft,11351,medium,6,0.5285877896220597,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,Yes
KevinMusgrave/pytorch-metric-learning,15569,medium,77,4.945725480120752,0.0,75.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,Yes
koaning/scikit-lego,10542,medium,193,10.055018023145513,87.0,0.0,67.0,28.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,Yes
kubeflow/examples,11038,medium,39,3.2614604094944735,1.0,0.0,22.0,9.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,36.0,Yes
kubeflow/katib,15845,medium,3,0.18933417481855475,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,Yes
l3p-cv/lost,15154,medium,30,1.9796753332453478,0.0,0.0,12.0,15.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,Yes
lab-ml/labml,16420,medium,18,1.0353227771010962,1.0,9.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,Yes
learnables/cherry,11180,medium,4,0.35778175313059035,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,Yes
limbo018/DREAMPlace,14304,medium,154,10.766219239373601,0.0,8.0,0.0,0.0,0.0,0.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,No
MIC-DKFZ/nnUNet,14017,medium,5,0.35670970963829635,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Yes
microsoft/hummingbird,14949,medium,76,3.0771289049434745,30.0,0.0,35.0,1.0,0.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,Yes
mittagessen/kraken,13974,medium,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes
mljar/mljar-supervised,19321,medium,292,15.061332229180683,0.0,0.0,218.0,16.0,49.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,291.0,Yes
mpariente/asteroid,19013,medium,63,3.260926734339662,0.0,0.0,42.0,1.0,16.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,62.0,Yes
namisan/mt-dnn,13012,medium,1,0.0768521364893944,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Yes
nanoporetech/medaka,13952,medium,4,0.286697247706422,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,Yes
norse/norse,14090,medium,11,0.7806955287437899,0.0,5.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,Yes
nussl/nussl,15649,medium,14,0.830724007923829,1.0,0.0,1.0,3.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,Yes
